,id,frequency
655,7566,1
656,19570,1
657,14916,1
658,11299,2
659,38,8
660,2875,1
661,8056,5
662,3322,3
663,444,3
664,5139,2
665,15071,1
666,14579,1
667,13594,1
668,6004,1
669,14941,2
670,8050,2
671,14504,1
672,1590,5
673,6351,2
674,1907,2
675,2853,3
676,5934,1
677,10281,2
678,12995,3
679,14995,4
680,89,1
681,10969,1
682,1854,2
683,14966,1
684,1089,1
685,3508,1
686,10042,1
687,15172,1
688,15173,1
689,19573,1
690,12081,2
691,19575,1
692,19576,1
693,15377,2
694,13720,2
695,19596,1
696,15122,1
697,7282,2
698,5176,5
699,5420,5
700,19603,1
701,15349,3
702,15209,1
703,92,1
704,2097,3
705,900,1
706,5974,1
707,652,1
708,19604,1
709,15282,1
710,9909,1
711,103,2
712,19613,1
713,9679,2
714,5418,1
715,15087,1
716,5384,1
717,19617,1
718,8910,2
719,19633,1
720,19634,1
721,19635,1
722,5555,2
723,4359,5
724,13746,5
725,15165,1
726,9684,1
727,80,1
728,15332,1
729,19637,1
730,10970,1
731,19638,1
732,19639,1
733,6046,1
734,14077,2
735,13891,2
736,19643,1
737,19644,1
738,15222,1
739,19645,1
740,15142,1
741,8909,5
742,4353,5
743,6880,1
744,5933,1
745,19664,1
746,15703,1
747,8912,1
748,16026,1
749,1677,1
750,1883,1
751,11768,2
752,603,1
753,5096,2
754,12882,1
755,7245,4
756,10148,2
757,6271,3
758,19699,1
759,6883,1
760,15448,1
761,19703,1
762,15623,1
763,2811,2
764,15625,1
765,19704,1
766,5956,4
767,6020,1
768,19712,1
769,19717,1
770,11621,3
771,10438,1
772,1646,3
773,6354,1
774,15443,1
775,10340,2
776,15493,1
777,19719,1
778,19721,1
779,3290,3
780,7947,1
781,790,1
782,15427,1
783,15429,1
784,19728,1
785,19729,1
786,4782,5
787,15440,2
788,11599,1
789,161,1
790,7183,1
791,12624,4
792,5988,3
793,19736,1
794,15709,1
795,443,2
796,243,1
797,15994,1
798,15987,1
799,11877,1
800,15991,1
801,13822,1
802,6734,1
803,15990,1
804,15993,1
805,1399,2
806,15988,2
807,19738,1
808,19739,1
809,6813,3
810,16222,1
811,3550,1
812,15406,2
813,10091,1
814,14861,1
815,18322,3
816,776,1
817,8057,4
818,5130,1
819,5037,1
820,19759,1
821,16100,1
822,7365,1
823,899,3
824,14964,4
825,227,2
826,15849,2
827,10667,1
828,13958,2
829,19775,1
830,19776,1
831,2893,3
832,10132,1
833,13918,1
834,19780,1
835,19781,1
836,19782,1
837,16257,1
838,13945,1
839,19797,1
840,15776,1
841,1853,4
842,5030,1
843,15984,1
844,19803,1
845,19804,1
846,238,1
847,5041,3
848,16007,1
849,15938,1
850,10616,1
851,8286,1
852,17919,1
853,15936,1
854,15937,1
855,3046,1
856,5668,2
857,15955,1
858,5105,1
859,12251,1
860,14311,1
861,13547,2
862,15971,1
863,15969,1
864,15810,3
865,2566,2
866,6326,3
867,19807,1
868,667,1
869,16088,1
870,3303,1
871,19808,1
872,9575,1
873,273,1
874,16706,1
875,9581,2
876,2817,4
877,9382,2
878,16801,1
879,15843,1
880,19813,1
881,6312,1
882,12709,2
883,16310,1
884,2645,1
885,16315,1
886,10311,2
887,16051,1
888,14742,2
889,299,1
890,19838,1
891,19856,1
892,1651,4
893,1658,4
894,19857,1
895,14033,2
896,19864,1
897,19866,1
898,3274,2
899,2821,1
900,234,1
901,9330,2
902,16819,1
903,16822,1
904,19868,1
905,19869,1
906,19870,1
907,19871,1
908,19872,1
909,19873,1
910,16707,1
911,16849,1
912,16467,1
913,16721,2
914,3426,1
915,9421,2
916,15711,1
917,19931,1
918,16566,1
919,16429,1
920,19933,1
921,19934,1
922,19935,1
923,9686,1
924,16827,1
925,16468,1
926,2273,1
927,2288,1
928,19937,1
929,19938,1
930,15666,1
931,14878,1
932,16550,1
933,16403,1
934,15232,1
935,16810,1
936,19940,1
937,19947,1
938,16798,1
939,5192,1
940,10304,1
941,16426,1
942,7146,1
943,16430,1
944,1666,1
945,19948,1
946,8756,1
947,2141,1
948,17103,1
949,5952,1
950,16961,1
951,12551,1
952,12546,1
953,2868,2
954,19968,1
955,19974,1
956,17064,1
957,19975,1
958,2897,2
959,5991,1
960,19977,1
961,2863,1
962,2905,1
963,9026,1
964,17048,1
965,12549,1
966,14500,1
967,9995,2
968,14090,1
969,19980,1
970,1458,1
971,6073,1
972,17519,1
973,20004,1
974,20012,1
975,20017,1
976,14507,1
977,1236,1
978,1520,1
979,1468,1
980,17369,1
981,448,1
982,1886,2
983,7628,1
984,4489,1
985,20037,1
986,3596,1
987,3599,1
988,17378,1
989,11361,1
990,12273,1
991,17380,1
992,854,1
993,14476,1
994,20038,1
995,17195,1
996,15822,1
997,20039,1
998,3004,1
999,10175,1
1000,15330,1
1001,20040,1
1002,15235,1
1003,20041,1
1004,14265,1
1005,17209,2
1006,17207,1
1007,17208,1
1008,17381,1
1009,20062,1
1010,20063,1
1011,20064,1
1012,17517,1
1013,17162,2
1014,15824,1
1015,17300,1
1016,6048,1
1017,17355,1
1018,20069,1
1019,41,1
1020,20070,1
1021,20071,1
1022,11485,1
1023,5150,1
1024,3286,1
1025,5477,1
1026,14410,1
1027,2370,1
1028,17371,1
1029,20075,1
1030,4575,1
1031,13108,1
1032,4582,1
1033,12498,2
1034,13631,1
1035,4779,1
1036,17610,1
1037,17672,1
