,id,frequency
1226,56421,3
1227,26755,5
1228,34727,4
1229,44425,4
1230,65540,1
1231,64389,4
1232,26809,1
1233,56763,5
1234,62877,2
1235,56615,11
1236,65377,1
1237,63019,9
1238,66817,3
1239,34759,2
1240,65440,3
1241,64172,5
1242,30533,5
1243,65552,13
1244,64224,2
1245,52391,9
1246,56571,3
1247,44277,12
1248,26771,5
1249,44215,5
1250,63844,1
1251,30531,24
1252,2789,4
1253,22848,14
1254,65323,2
1255,26788,4
1256,56713,9
1257,66383,9
1258,65549,7
1259,65565,3
1260,65424,1
1261,65433,1
1262,65531,1
1263,67304,10
1264,65390,7
1265,65551,9
1266,65266,2
1267,65554,3
1268,64560,5
1269,64901,1
1270,65265,3
1271,64568,5
1272,64569,6
1273,64464,1
1274,65522,1
1275,65394,4
1276,65337,3
1277,56405,3
1278,56754,1
1279,56489,6
1280,63883,2
1281,2805,1
1282,26815,5
1283,65292,5
1284,56535,1
1285,56546,15
1286,64915,5
1287,66689,4
1288,63884,1
1289,63885,3
1290,56582,3
1291,64403,2
1292,56448,3
1293,3656,6
1294,56519,1
1295,56491,2
1296,26762,6
1297,30530,12
1298,56560,7
1299,64090,6
1300,15356,5
1301,56761,15
1302,63703,4
1303,986,5
1304,63864,1
1305,56604,1
1306,2804,2
1307,64296,5
1308,65727,2
1309,65693,1
1310,63259,2
1311,62844,1
1312,63076,9
1313,62773,22
1314,62912,8
1315,56718,1
1316,63079,4
1317,62858,2
1318,34369,3
1319,65591,10
1320,63267,23
1321,65512,3
1322,63232,19
1323,63459,7
1324,65426,1
1325,65420,1
1326,62765,9
1327,63072,1
1328,63497,1
1329,65704,2
1330,56783,3
1331,62897,1
1332,56739,8
1333,56740,8
1334,63032,4
1335,64598,1
1336,65485,4
1337,34372,1
1338,63204,6
1339,62894,2
1340,62816,2
1341,63253,14
1342,34501,7
1343,19251,2
1344,63203,8
1345,63483,5
1346,63173,12
1347,44320,2
1348,65489,2
1349,63288,9
1350,63449,2
1351,64733,1
1352,63149,2
1353,64052,2
1354,64479,1
1355,65608,11
1356,56795,5
1357,62806,1
1358,64469,3
1359,66344,8
1360,64209,2
1361,62910,3
1362,65712,2
1363,65714,1
1364,65715,1
1365,65600,1
1366,63147,14
1367,65622,2
1368,65735,5
1369,64058,1
1370,65599,4
1371,65695,7
1372,65694,1
1373,64737,2
1374,65511,1
1375,62942,2
1376,63157,6
1377,62882,7
1378,63461,7
1379,56821,7
1380,63048,1
1381,63480,5
1382,34506,12
1383,3194,1
1384,62810,1
1385,62896,2
1386,62854,3
1387,34425,1
1388,63152,9
1389,65729,1
1390,62895,5
1391,64731,1
1392,64735,2
1393,62888,14
1394,56741,3
1395,62913,4
1396,64436,2
1397,63161,8
1398,65573,1
1399,63275,10
1400,64602,1
1401,65757,6
1402,63284,2
1403,65988,24
1404,62976,6
1405,44169,4
1406,34450,1
1407,30520,1
1408,64680,27
1409,44177,9
1410,52353,1
1411,40034,6
1412,64748,2
1413,63415,12
1414,4225,1
1415,64896,7
1416,34607,8
1417,63520,2
1418,63437,7
1419,44248,25
1420,44339,1
1421,34612,1
1422,64676,3
1423,34605,4
1424,44322,4
1425,64548,9
1426,66003,1
1427,44034,6
1428,44166,7
1429,44239,1
1430,64439,14
1431,64440,5
1432,44359,4
1433,64045,6
1434,65810,3
1435,64099,4
1436,63121,4
1437,40081,2
1438,63899,1
1439,63960,2
1440,63522,4
1441,44045,1
1442,44062,1
1443,34628,1
1444,65983,1
1445,19212,1
1446,52273,6
1447,63504,9
1448,44084,8
1449,65943,1
1450,65944,1
1451,34464,15
1452,34533,3
1453,64875,1
1454,67499,15
1455,52295,6
1456,44138,1
1457,40004,1
1458,44123,4
1459,44095,4
1460,34479,1
1461,3425,4
1462,44008,4
1463,65755,2
1464,65872,2
1465,44153,10
1466,34574,14
1467,52359,2
1468,30508,2
1469,52181,6
1470,40054,20
1471,65964,2
1472,65990,2
1473,65827,2
1474,65830,2
1475,65796,1
1476,67498,23
1477,65948,3
1478,34411,5
1479,44344,2
1480,64118,3
1481,52324,21
1482,44363,2
1483,64829,4
1484,64979,1
1485,34527,1
1486,52313,2
1487,44263,4
1488,44345,2
1489,64014,6
1490,52317,5
1491,44282,14
1492,63505,4
1493,44194,8
1494,63928,12
1495,44459,3
1496,44059,3
1497,44096,13
1498,64895,12
1499,64893,2
1500,44165,3
1501,15304,5
1502,65965,2
1503,64994,7
1504,64041,3
1505,64675,2
1506,34520,2
1507,44071,2
1508,64180,2
1509,3405,2
1510,34395,1
1511,34423,1
1512,34633,4
1513,34484,6
1514,44453,3
1515,63508,1
1516,52315,3
1517,62747,15
1518,65838,1
1519,3148,2
1520,2335,2
1521,34335,1
1522,44388,8
1523,65878,1
1524,65966,2
1525,65734,6
1526,65825,4
1527,44125,6
1528,52293,2
1529,63975,21
1530,65733,2
1531,3479,10
1532,65749,3
1533,3289,1
1534,66105,9
1535,64109,2
1536,64110,2
1537,3516,14
1538,63363,1
1539,40079,9
1540,34636,5
1541,66136,8
1542,3079,20
1543,52228,6
1544,34585,11
1545,3577,4
1546,66106,2
1547,65981,1
1548,66115,2
1549,66116,1
1550,3506,14
1551,52216,5
1552,3088,5
1553,3463,2
1554,3543,5
1555,63721,14
1556,3470,1
1557,3472,2
1558,3115,1
1559,3411,1
1560,66125,3
1561,66717,1
1562,65863,1
1563,64344,1
1564,64842,7
1565,64847,5
1566,3419,5
1567,3628,2
1568,3629,1
1569,63418,1
1570,3105,2
1571,3402,1
1572,3129,4
1573,3525,1
1574,416,7
1575,64159,2
1576,52338,3
1577,3519,7
1578,3458,2
1579,3460,3
1580,3637,1
1581,52222,4
1582,3580,1
1583,65628,4
1584,63777,4
1585,64361,1
1586,64840,2
1587,64981,3
1588,66095,1
1589,66096,1
1590,66097,2
1591,3375,2
1592,52192,2
1593,3417,5
1594,64993,7
1595,62991,7
1596,3442,2
1597,3205,2
1598,502,1
1599,65139,2
1600,3611,2
1601,52254,11
1602,64552,2
1603,65968,1
1604,66027,3
1605,52335,1
1606,3499,9
1607,64336,2
1608,3497,10
1609,64649,1
1610,3106,2
1611,56476,2
1612,3572,3
1613,3598,3
1614,64245,1
1615,66149,1
1616,34352,21
1617,64697,1
1618,64290,1
1619,64291,2
1620,63364,2
1621,64982,13
1622,63769,4
1623,3553,4
1624,52289,5
1625,52232,13
1626,3404,1
1627,3351,1
1628,64105,2
1629,64510,4
1630,44151,4
1631,66639,1
1632,3104,1
1633,26871,2
1634,66141,2
1635,10316,3
1636,66554,1
1637,65993,1
1638,44366,18
1639,65242,1
1640,3379,4
1641,63971,9
1642,3558,5
1643,3415,1
1644,3466,2
1645,3094,5
1646,66128,1
1647,66102,1
1648,52330,2
1649,3443,4
1650,66103,2
1651,65936,3
1652,3504,2
1653,64946,1
1654,3616,3
1655,3149,5
1656,65006,3
1657,64486,1
1658,66225,1
1659,8642,1
1660,3694,7
1661,66215,10
1662,3700,2
1663,3712,2
1664,66198,1
1665,3314,3
1666,19152,2
1667,3237,1
1668,3278,3
1669,3240,1
1670,66234,1
1671,66158,1
1672,19157,3
1673,64857,8
1674,64236,1
1675,16694,22
1676,66217,21
1677,63738,3
1678,63815,1
1679,19140,1
1680,66216,18
1681,64972,4
1682,3665,3
1683,3681,3
1684,65238,3
1685,65239,3
1686,65240,3
1687,3696,3
1688,3688,3
1689,15338,4
1690,3682,4
1691,66185,1
1692,66186,1
1693,66187,1
1694,66188,1
1695,34729,3
1696,3690,2
1697,44268,1
1698,19166,26
1699,38402,1
1700,66209,1
1701,3275,2
1702,66208,2
1703,22817,7
1704,66199,1
1705,3487,4
1706,64725,6
1707,64902,9
1708,64903,36
1709,64593,5
1710,65023,2
1711,66181,2
1712,66262,3
1713,66239,2
1714,15341,5
1715,15333,1
1716,66192,7
1717,26861,2
1718,65047,4
1719,65048,1
1720,66243,1
1721,66244,1
1722,15334,1
1723,63571,3
1724,22807,7
1725,65164,1
1726,67612,2
1727,63403,2
1728,63404,1
1729,3234,1
1730,8625,4
1731,65278,3
1732,66171,3
1733,2135,1
1734,66247,2
1735,66154,3
1736,66179,2
1737,66180,2
1738,66170,3
1739,64643,1
1740,64644,1
1741,66172,1
1742,66173,1
1743,66223,6
1744,63102,10
1745,19107,1
1746,65563,1
1747,63752,1
1748,8660,1
1749,65225,2
1750,63755,1
1751,63759,2
1752,64139,2
1753,19106,49
1754,3706,1
1755,63758,1
1756,3663,3
1757,8627,2
1758,19074,1
1759,3245,2
1760,19109,1
1761,15332,8
1762,66053,2
1763,63313,2
1764,2050,3
1765,26867,6
1766,19091,3
1767,66226,2
1768,66224,1
1769,19112,4
1770,19138,2
1771,3274,1
1772,66010,1
1773,3699,2
1774,65129,2
1775,63743,1
1776,4257,3
1777,4221,5
1778,63823,1
1779,63627,2
1780,15375,6
1781,2617,1
1782,4218,1
1783,2620,2
1784,2632,2
1785,64964,1
1786,872,8
1787,4232,6
1788,22831,2
1789,64067,4
1790,4220,8
1791,63693,2
1792,63829,8
1793,19156,2
1794,19195,11
1795,4239,1
1796,63339,2
1797,2681,1
1798,2626,4
1799,15361,2
1800,26696,7
1801,66380,1
1802,38406,3
1803,64289,4
1804,2332,4
1805,63591,5
1806,8654,5
1807,8695,4
1808,4243,1
1809,15354,1
1810,64250,3
1811,63585,1
1812,64757,3
1813,63728,1
1814,66371,2
1815,66265,2
1816,63642,2
1817,34758,1
1818,68004,2
1819,66369,8
1820,56699,1
1821,66368,1
1822,2685,1
1823,4256,5
1824,63561,1
1825,63620,1
1826,66260,1
1827,64785,7
1828,15384,3
1829,66264,1
1830,22836,1
1831,15369,1
1832,15374,3
1833,8691,7
1834,66271,1
1835,63616,1
1836,63617,1
1837,19173,8
1838,63593,2
1839,62951,1
1840,65026,9
1841,65427,1
1842,63656,1
1843,65016,6
1844,15318,3
1845,66330,4
1846,66331,5
1847,63831,2
1848,64760,2
1849,64741,1
1850,4234,1
1851,63590,3
1852,63636,1
1853,34698,1
1854,65975,1
1855,30546,1
1856,26722,7
1857,66431,4
1858,66353,1
1859,66308,4
1860,63020,3
1861,2794,8
1862,65914,3
1863,26740,3
1864,64511,3
1865,26748,1
1866,2807,10
1867,2755,3
1868,66436,1
1869,63708,3
1870,64773,3
1871,64240,2
1872,66318,5
