,id,frequency
796,11129,1
797,8649,7
798,2412,2
799,3506,4
800,4933,2
801,216,2
802,10113,1
803,11264,4
804,11245,1
805,7493,2
806,7944,1
807,11100,1
808,11354,1
809,11075,1
810,11074,9
811,5745,1
812,11186,1
813,11187,2
814,7431,1
815,12335,1
816,11107,1
817,11342,7
818,8394,1
819,11317,1
820,4855,1
821,9511,1
822,11243,2
823,11251,1
824,11281,1
825,11172,2
826,6837,1
827,2825,1
828,11235,1
829,10273,1
830,11179,1
831,11180,1
832,11181,1
833,11182,1
834,11183,1
835,11184,1
836,11191,1
837,11192,1
838,11193,1
839,11194,1
840,11195,1
841,16829,1
842,16830,1
843,9963,1
844,10970,1
845,1972,2
846,2797,1
847,11348,1
848,8580,1
849,11515,9
850,11579,1
851,2038,1
852,11442,1
853,11388,1
854,9401,3
855,11383,2
856,11656,1
857,11646,1
858,10442,1
859,11408,2
860,10810,11
861,6815,2
862,11417,2
863,11409,1
864,11666,1
865,11410,1
866,11669,1
867,6602,2
868,11411,1
869,11587,1
870,11517,1
871,11528,1
872,16831,1
873,2868,2
874,11432,1
875,10831,1
876,10179,2
877,11492,1
878,16832,1
879,11541,1
880,6992,2
881,10040,1
882,11456,1
883,5570,1
884,11389,1
885,6384,6
886,1498,1
887,278,4
888,11540,1
889,11421,1
890,11422,1
891,1162,1
892,3614,7
893,11479,1
894,3025,1
895,10363,1
896,11447,1
897,9074,2
898,10183,5
899,11545,1
900,11558,2
901,10919,1
902,11559,1
903,10090,11
904,3988,1
905,11500,1
906,6812,1
907,11676,1
908,10602,4
909,2875,2
910,11887,1
911,11499,1
912,11457,1
913,10222,1
914,4270,1
915,11581,1
916,11523,3
917,11440,2
918,11448,1
919,7158,1
920,9882,2
921,11948,4
922,11856,2
923,6128,12
924,12023,2
925,11119,1
926,11867,1
927,11853,1
928,7091,2
929,10971,2
930,11760,1
931,10583,1
932,11905,5
933,16839,1
934,8408,1
935,12068,1
936,12022,1
937,12029,1
938,9473,3
939,12080,1
940,11832,1
941,151,2
942,8956,1
943,11860,1
944,6467,6
945,8278,2
946,9911,1
947,2239,2
948,9525,2
949,11907,1
950,8713,9
951,11862,1
952,11695,1
953,6194,13
954,9311,3
955,9458,1
956,12062,1
957,10279,4
958,12019,1
959,12051,1
960,10834,2
961,11947,1
962,12220,2
963,4273,4
964,11759,1
965,5234,2
966,11854,1
967,308,1
968,10867,2
969,11731,1
970,11732,1
971,11717,1
972,11804,1
973,12332,1
974,3442,6
975,9318,1
976,11953,1
977,12053,1
978,11573,1
979,11574,2
980,11687,1
981,11930,1
982,9537,1
983,4894,1
984,7947,1
985,11928,1
986,11929,1
987,11869,4
988,11770,1
989,11993,2
990,11889,1
991,11984,2
992,16845,1
993,11494,6
994,11091,2
995,11991,1
996,4415,1
997,12085,1
998,11851,1
999,11740,1
1000,11951,1
1001,6523,1
1002,11819,1
1003,12048,1
1004,11829,1
1005,11883,1
1006,17,1
1007,9938,1
1008,9040,1
1009,11925,1
1010,11996,1
1011,11960,2
1012,11692,25
1013,317,1
1014,8081,4
1015,12055,1
1016,11952,1
1017,11986,1
1018,11886,4
1019,11104,1
1020,12226,1
1021,12171,1
1022,12276,1
1023,12127,1
1024,841,8
1025,832,3
1026,12280,1
1027,11988,3
1028,12419,2
1029,12333,1
1030,8234,3
1031,11393,2
1032,9722,3
1033,2821,7
1034,12192,1
1035,12196,2
1036,12368,1
1037,12380,1
1038,12412,1
1039,2356,1
1040,12203,1
1041,12204,1
1042,12110,1
1043,12266,1
1044,12267,1
1045,1222,1
1046,12136,1
1047,12099,1
1048,12195,1
1049,12260,1
1050,12215,4
1051,205,1
1052,12121,1
1053,7925,1
1054,12399,1
1055,11959,1
1056,12141,1
1057,12326,1
1058,6558,3
1059,12316,1
1060,9407,4
1061,12113,3
1062,12369,1
1063,4735,5
1064,12237,1
1065,12205,1
1066,12206,1
1067,12172,2
1068,12351,1
1069,3464,1
1070,9026,1
1071,4127,5
1072,4161,3
1073,12282,1
1074,12213,1
1075,12251,1
1076,6006,1
1077,12420,1
1078,12383,1
1079,12356,1
1080,11696,4
1081,9758,1
1082,12330,1
1083,10159,2
1084,12105,1
1085,12106,1
1086,12112,1
1087,12207,1
1088,12209,1
1089,9766,3
1090,12318,1
1091,2021,2
1092,10017,1
1093,12319,1
1094,3680,2
1095,12124,1
1096,12315,1
1097,12156,1
1098,12212,1
1099,12366,1
1100,43,3
1101,8943,2
1102,12173,1
1103,12174,1
1104,12175,1
1105,12176,1
1106,12177,1
1107,12264,1
1108,12265,1
1109,12314,1
1110,11890,1
1111,3000,1
1112,2689,1
1113,2684,1
1114,6917,2
1115,12217,1
1116,12286,1
1117,12360,1
1118,12361,1
1119,12362,1
1120,12238,2
1121,5586,1
1122,12183,2
1123,12161,1
1124,11926,2
1125,7951,8
1126,12165,2
1127,11062,1
1128,12145,1
1129,12146,1
1130,12147,1
1131,12241,2
1132,4325,1
1133,12122,1
1134,12248,1
1135,4073,1
1136,4076,1
1137,8648,1
1138,12457,1
1139,12458,1
1140,12459,1
1141,12460,1
1142,12461,1
1143,12462,1
1144,12569,1
1145,12570,1
1146,12571,1
1147,12572,1
1148,12573,1
1149,12574,1
1150,12575,1
1151,12576,1
1152,12577,1
1153,12578,1
1154,700,1
1155,12589,1
1156,9562,1
1157,12615,1
1158,12440,1
1159,482,1
1160,12749,1
1161,12355,1
1162,12626,1
1163,9472,1
1164,12443,1
1165,5749,3
1166,12658,1
1167,12478,1
1168,12783,1
1169,9795,2
1170,12629,4
1171,12475,1
1172,11080,1
1173,8606,1
1174,5636,4
1175,12680,2
1176,12738,1
1177,12482,1
1178,12591,1
1179,12609,4
1180,12484,1
1181,12777,1
1182,12676,2
1183,12480,1
1184,12656,1
1185,12453,1
1186,12601,1
1187,12636,1
1188,12773,1
1189,12774,1
1190,12766,1
1191,12778,1
1192,12445,1
1193,12638,1
1194,12664,1
1195,9863,3
1196,12728,2
1197,9628,2
1198,7932,1
1199,12447,1
1200,12463,1
1201,12678,1
1202,12631,1
1203,10042,1
1204,12429,1
1205,12616,1
1206,5486,1
1207,8121,1
1208,12550,1
1209,12558,1
1210,9852,1
1211,12668,3
1212,13876,6
1213,12508,1
1214,7915,1
1215,12614,1
1216,12452,1
1217,12743,2
1218,5184,1
1219,15470,1
1220,12735,1
1221,6609,1
1222,11668,3
1223,12604,1
1224,12642,9
1225,12657,1
1226,16858,1
1227,12567,1
1228,12094,2
1229,8170,1
1230,4993,5
1231,12479,1
1232,5070,1
1233,12523,1
1234,12681,1
1235,12467,1
1236,12483,1
1237,12439,1
1238,12433,1
1239,9592,1
1240,12490,1
1241,12524,1
1242,9157,3
1243,12679,1
1244,12737,1
1245,12485,1
1246,4341,8
1247,12543,1
1248,12451,1
1249,12520,1
1250,12730,1
1251,6903,1
1252,12477,1
1253,12691,1
1254,11079,1
1255,465,4
1256,12981,1
1257,5349,3
1258,7838,1
1259,5766,3
1260,5600,1
1261,12823,1
1262,5787,1
1263,8714,1
1264,12942,1
1265,5577,3
1266,4142,6
1267,13117,1
1268,13173,1
1269,12972,1
1270,11372,3
1271,13128,1
1272,12928,1
1273,13037,1
1274,12852,1
1275,4979,1
1276,13057,1
1277,13073,7
1278,9661,7
1279,11266,6
1280,12871,3
1281,12872,1
1282,12873,1
1283,12874,1
1284,12798,1
1285,12800,1
1286,7930,1
1287,12875,2
1288,12910,1
1289,12993,1
1290,12978,1
1291,13034,1
1292,12973,1
1293,12951,1
1294,12817,3
1295,13065,8
1296,12901,1
1297,12851,1
1298,13074,1
1299,2623,1
1300,7897,1
1301,12790,1
1302,8519,2
1303,12849,1
1304,5337,3
1305,6918,1
1306,4741,1
1307,13023,1
1308,2734,3
1309,14407,2
1310,14408,2
1311,14409,2
1312,13081,2
1313,12815,1
1314,12953,1
1315,12859,1
1316,13061,1
1317,3814,3
1318,13223,1
1319,12921,1
1320,13118,1
1321,12870,4
1322,13120,1
1323,2242,1
1324,12801,1
1325,13116,1
1326,13098,1
1327,12331,2
1328,4163,1
1329,12805,1
1330,12806,1
1331,13188,1
1332,12796,1
1333,13063,1
1334,13090,1
1335,13141,1
1336,13062,1
1337,12846,1
1338,12821,1
1339,12936,1
1340,16867,1
1341,13111,2
1342,6651,1
1343,8892,1
1344,12943,1
1345,12811,2
1346,12812,1
1347,5919,1
1348,13152,2
1349,2271,1
1350,12902,2
1351,12840,1
1352,13096,1
1353,13097,1
1354,12794,4
1355,9647,2
1356,12793,7
1357,12841,1
1358,12822,1
1359,13039,1
1360,13078,1
1361,13258,1
1362,13155,1
1363,12944,1
1364,9785,1
1365,12375,1
1366,6555,1
1367,13266,2
1368,13368,4
1369,13352,1
1370,10516,1
1371,11351,3
1372,11435,1
1373,13308,1
1374,13309,1
1375,13310,2
1376,13311,1
1377,13312,1
1378,13313,1
1379,13314,1
1380,13315,1
1381,13316,1
1382,13317,1
1383,13319,1
1384,13320,2
1385,13321,1
1386,13322,1
1387,13323,1
1388,13236,1
1389,13139,1
1390,13738,1
1391,13675,2
1392,13676,1
1393,13739,1
1394,16236,3
1395,16237,1
1396,16238,1
1397,13190,2
1398,13485,1
1399,13197,1
1400,2290,4
1401,6366,3
1402,13723,1
1403,13659,1
1404,15588,2
1405,2992,3
1406,12472,1
1407,13587,1
1408,11921,1
1409,13267,1
1410,15537,1
1411,13422,1
1412,13376,1
1413,13597,1
1414,13250,1
1415,13064,2
1416,13091,2
1417,13218,6
1418,13219,1
1419,13220,1
1420,13221,1
1421,13224,2
1422,13225,1
1423,13226,1
1424,13516,1
1425,13281,1
