optimizer,lr,lr_scheduler,dropout,hidden_layers,hidden_size,normalization,batch_size,num_epochs,patience,val_loss,val_loss_std,strain_f1,strain_f1_std
adam,0.01,reduce_on_plateau,0.2,2,64,layer,32,100,5,0.06651688843137689,0.010278761889549515,0.5944563393443303,0.012644238104948854
nadam,0.001,reduce_on_plateau,0,3,128,layer,8,100,5,0.06024725260745202,0.01100731380794202,0.6053953893741195,0.021730020250552148
nadam,0.002,reduce_on_plateau,0.2,3,64,layer,32,100,5,0.0652358310090171,0.005279781712261114,0.6007041712913611,0.01906587037441835
nadam,0.001,reduce_on_plateau,0,1,128,layer,32,100,5,0.05997826713654729,0.007080040026374947,0.5972558088261046,0.026639591705715948
adam,0.002,reduce_on_plateau,0,3,32,layer,32,100,5,0.06131933232148488,0.005453366172869308,0.6022313672754274,0.01087648820224424
adamW,0.001,reduce_on_plateau,0.2,1,2048,layer,32,100,5,0.06680907441510095,0.00725314607536769,0.5901347705388986,0.01255857947068355
nadam,0.0003,reduce_on_plateau,0,1,1024,layer,16,100,5,0.06155450529315406,0.01013427366577343,0.5911314094658102,0.026052186722004895
adamW,0.0003,reduce_on_plateau,0.1,1,2048,layer,16,100,5,0.0645684263875915,0.010862826331509463,0.5863130194146937,0.011132453634084863
adam,0.002,reduce_on_plateau,0.1,3,2048,layer,32,100,5,0.06320900701814228,0.0035405474441587126,0.6037592274494784,0.056773817121682224
adamW,0.01,reduce_on_plateau,0.1,1,1024,layer,32,100,5,0.06547357084022629,0.008684200852151304,0.6071483704937339,0.025664662875812167
adam,0.0003,reduce_on_plateau,0,2,32,layer,32,100,5,0.06349656085173289,0.005416799464224572,0.6215538277604504,0.023702522330024945
adamW,0.01,reduce_on_plateau,0.2,1,64,layer,32,100,5,0.06544052043722735,0.012846146439871965,0.6003306267723596,0.013408380430215274
adam,0.0003,reduce_on_plateau,0,1,32,layer,8,100,5,0.05792939018990312,0.0020321004310235257,0.5999347349460318,0.012535883848761017
adam,0.0003,reduce_on_plateau,0.2,1,32,layer,8,100,5,0.0644713438728026,0.006867700449325505,0.587271137630408,0.01572122904009651
nadam,0.002,reduce_on_plateau,0.2,3,32,layer,8,100,5,0.06786150697618723,0.004485836960509043,0.566063016328868,0.03467975414826196
adam,0.001,reduce_on_plateau,0,1,64,layer,16,100,5,0.058958166372030975,0.005425505108821535,0.6029113726456654,0.016778543086417776
nadam,0.001,reduce_on_plateau,0.2,3,2048,layer,32,100,5,0.06468434627685281,0.009627894886252339,0.6081658989374834,0.022065969042368346
nadam,0.01,reduce_on_plateau,0.1,3,1024,layer,8,100,5,0.061809461845883304,0.006187674026210384,0.6114821912195921,0.033602481268774874
adam,0.0003,reduce_on_plateau,0,2,64,layer,8,100,5,0.059292631583022226,0.004925591716830434,0.605157773238564,0.02072206802725226
nadam,0.0003,reduce_on_plateau,0,3,256,layer,8,100,5,0.05957860883325339,0.008351854766599462,0.5940038836189082,0.012373592004420944
adam,0.001,reduce_on_plateau,0.1,1,64,layer,16,100,5,0.0607404637357427,0.003139357111889571,0.5962980089164872,0.015350922819264066
nadam,0.0003,reduce_on_plateau,0.2,1,512,layer,8,100,5,0.06570631096804781,0.013288131535755102,0.6055574227538245,0.019537336001540093
nadam,0.01,reduce_on_plateau,0.1,2,512,layer,32,100,5,0.06474216551416449,0.013576028702368261,0.5800369157080043,0.03936841946369851
adam,0.01,reduce_on_plateau,0,3,2048,layer,32,100,5,0.07864832588367991,0.010930362071783934,0.5052697108580941,0.03892274428199685
nadam,0.0003,reduce_on_plateau,0.2,3,1024,layer,32,100,5,0.06581894879539808,0.004068320618411174,0.5947576205470941,0.009294627965355642
adamW,0.001,reduce_on_plateau,0.1,2,2048,layer,8,100,5,0.06425936086901597,0.006115096134506167,0.5972257458987416,0.03240019329347397
adam,0.0003,reduce_on_plateau,0,3,256,layer,32,100,5,0.06157852423687776,0.008855028126149345,0.6183437122604519,0.014743902085588028
nadam,0.01,reduce_on_plateau,0,3,256,layer,16,100,5,0.06103606669025289,0.005743405168876898,0.6095359227038607,0.03757283725828748
nadam,0.001,reduce_on_plateau,0.2,1,256,layer,8,100,5,0.06287356753434455,0.007396284962035976,0.6041541892634084,0.023418223038720952
adamW,0.002,reduce_on_plateau,0.1,1,1024,layer,8,100,5,0.062229703993403496,0.007111233619433438,0.6166823971867981,0.018282104004354233
adam,0.0003,reduce_on_plateau,0.2,2,32,layer,16,100,5,0.06739214840862486,0.010211834861203507,0.5254370340060975,0.027256779893172815
adam,0.01,reduce_on_plateau,0,3,32,layer,32,100,5,0.06009736359119415,0.006962969320360198,0.6190468111811274,0.030100007973062108
adamW,0.002,reduce_on_plateau,0.1,2,128,layer,8,100,5,0.06148043440122689,0.015822309003068327,0.5947358457429222,0.01813805630659968
adam,0.0003,reduce_on_plateau,0,1,256,layer,32,100,5,0.06080071392158668,0.0034257810310732756,0.5972967645662173,0.024523953686997467
adam,0.0003,reduce_on_plateau,0.2,2,1024,layer,32,100,5,0.06501931949622101,0.008087457316787875,0.5977319316107834,0.009908755434489654
adamW,0.001,reduce_on_plateau,0.1,1,64,layer,32,100,5,0.06306793987751007,0.0038288326129328346,0.594723313621674,0.01945459775519619
nadam,0.01,reduce_on_plateau,0,1,1024,layer,32,100,5,0.06277504199080998,0.009537304995200108,0.6097084841706356,0.02544030449100942
adamW,0.001,reduce_on_plateau,0.1,1,256,layer,16,100,5,0.06159086221208175,0.007140574797673556,0.6052368445281237,0.014233337650712979
adamW,0.0003,reduce_on_plateau,0,3,64,layer,32,100,5,0.06388751367727916,0.006192861397823171,0.5970034145124739,0.02069955985001082
adam,0.001,reduce_on_plateau,0,2,512,layer,8,100,5,0.06109679751763386,0.0067717497919068045,0.6005957783303638,0.018475615331356016
adam,0.001,reduce_on_plateau,0.2,2,512,layer,32,100,5,0.0647711630910635,0.012530395141768126,0.5979994778400267,0.030389300142984275
adamW,0.0003,reduce_on_plateau,0.2,3,64,layer,32,100,5,0.0709667142894533,0.005059181699931128,0.47813499340735877,0.10404689644419124
adamW,0.01,reduce_on_plateau,0.2,3,1024,layer,32,100,5,0.07533980458974839,0.015833929977410198,0.4854993403574054,0.10484019556274053
adamW,0.0003,reduce_on_plateau,0.1,2,32,layer,32,100,5,0.06533363097243838,0.006150176614047227,0.5889640696618886,0.020042199664388062
nadam,0.0003,reduce_on_plateau,0,1,32,layer,8,100,5,0.06003230750826853,0.010716212628345077,0.603925263655988,0.02386718419787642
adam,0.002,reduce_on_plateau,0,3,1024,layer,16,100,5,0.059809678296248114,0.0017567306231956346,0.5965316141762167,0.030165144553518722
nadam,0.002,reduce_on_plateau,0.1,2,32,layer,8,100,5,0.061220569445618565,0.007362133926368409,0.6071473528738518,0.014757514764465901
adam,0.01,reduce_on_plateau,0.2,1,64,layer,16,100,5,0.06269819927919242,0.007050751032791834,0.5905541948152129,0.010458273397261611
nadam,0.001,reduce_on_plateau,0.2,1,128,layer,16,100,5,0.06487383360250129,0.007303325585238416,0.6037914494474229,0.024256441110153956
adamW,0.001,reduce_on_plateau,0.2,2,256,layer,8,100,5,0.06374201379184212,0.009071809980069186,0.5993707392848643,0.008361910156831185
adam,0.0003,reduce_on_plateau,0,2,1024,layer,32,100,5,0.0619200469305118,0.004129519598378204,0.596858642079793,0.009882190621212476
adamW,0.002,reduce_on_plateau,0.1,1,64,layer,8,100,5,0.06022198715646352,0.0046319516225601515,0.6012045144501066,0.030361416998676796
nadam,0.002,reduce_on_plateau,0.1,1,32,layer,32,100,5,0.06205264727274577,0.00679216076409653,0.6109411289554053,0.015560131277506483
adamW,0.002,reduce_on_plateau,0.05,3,64,layer,8,100,5,0.06023625824600458,0.004653030761798518,0.6005871507908113,0.0152826131163616
nadam,0.002,reduce_on_plateau,0.05,4,128,layer,8,100,5,0.05937052101695112,0.005097246792095067,0.5939108292526468,0.014226327419578045
nadam,0.0003,reduce_on_plateau,0.05,2,64,layer,8,100,5,0.06010818546903986,0.006612314173063287,0.5983133516943149,0.022565907523016553
adamW,0.0003,reduce_on_plateau,0.05,3,128,layer,8,100,5,0.0610277168612395,0.005969487644624006,0.5936434640854262,0.019892121530289113
adamW,0.002,reduce_on_plateau,0,1,32,layer,16,100,5,0.05962802482148012,0.009260292969586317,0.5981598144241315,0.011386261719342776
nadam,0.001,reduce_on_plateau,0.05,2,128,layer,8,100,5,0.0575106163748673,0.006725081268508148,0.6029989701076757,0.013597445727312724
adamW,0.002,reduce_on_plateau,0.05,5,64,layer,16,100,5,0.06148519098965658,0.012749230665074027,0.6137644223331774,0.029113445577541388
nadam,0.001,reduce_on_plateau,0,5,32,layer,8,100,5,0.05973372883562531,0.007255029158741901,0.6043826877031195,0.028833061275392282
nadam,0.002,reduce_on_plateau,0.05,6,32,layer,8,100,5,0.061209687351116114,0.00542432050906412,0.6135845866050983,0.010362394751544053
adam,0.001,reduce_on_plateau,0,1,128,layer,16,100,5,0.05948559562158253,0.006276268033367741,0.6073863029138445,0.025234688796436283
adamW,0.002,reduce_on_plateau,0,5,32,layer,16,100,5,0.0613545581077536,0.008252734901334527,0.6036428472297429,0.020729180528524346
nadam,0.01,reduce_on_plateau,0,4,64,layer,8,100,5,0.06055605049378106,0.007688982855327411,0.5976840273322179,0.029629781240268854
nadam,0.01,reduce_on_plateau,0,1,64,layer,16,100,5,0.06109257048616808,0.006549978573507793,0.6014947309914224,0.033048349551907046
adam,0.002,reduce_on_plateau,0.05,1,64,layer,8,100,5,0.05983610664095198,0.008706905318808595,0.5921114991097253,0.026439640865775636
adam,0.002,reduce_on_plateau,0,6,128,layer,16,100,5,0.060403644324590756,0.006323941348293732,0.5892781677220736,0.07136048847621539
adam,0.001,reduce_on_plateau,0,5,64,layer,16,100,5,0.05951558142486546,0.007792391036481809,0.6068463466205453,0.018659762654711545
nadam,0.0003,reduce_on_plateau,0.05,5,32,layer,16,100,5,0.06382325285424789,0.0073637645730177306,0.5797511605052965,0.01582008030461044
adam,0.01,reduce_on_plateau,0,3,64,layer,16,100,5,0.06018891915058096,0.003195405788648711,0.6319378610040334,0.024654577066335826
nadam,0.001,reduce_on_plateau,0.05,5,128,layer,16,100,5,0.06036842640282379,0.005380765548075333,0.6061855716818378,0.015397366903032278
nadam,0.002,reduce_on_plateau,0,3,32,layer,8,100,5,0.06158972572535276,0.007568581846878,0.5960612795145168,0.0207586613758581
