namespace	ncbi_taxid
entity_id	external_id	source
bac15235	106370	organism
bac1525	1559	organism
bac1526	1513	organism
bac15265	228574	organism
bac15268	323620	organism
bac1527	1553	organism
bac1528	1525	organism
bac15282	296745	organism
bac15290	332186	organism
bac15291	286	organism
bac15292	99481	organism
bac15293	330834	synonym
bac15294	69974	organism
bac15297	44255	organism
bac15298	60890	organism
bac1530	1515	organism
bac15306	259	organism
bac1531	1516	organism
bac15319	544580	organism
bac15321	1080712	organism
bac15323	73919	organism
bac15327	56813	organism
bac15328	161493	organism
bac1533	1517	organism
bac15330	359408	organism
bac15331	466153	organism
bac15332	656366	organism
bac15333	2246	organism
bac1534	33950	organism
bac15347	1470456	organism
bac15349	76112	organism
bac15350	354197	organism
bac15351	414050	organism
bac15359	1355329	organism
bac15367	1213358	organism
bac1537	1519	organism
bac15377	37926	organism
bac15381	1663	organism
bac15396	111955	organism
bac15398	49900	organism
bac15406	33	organism
bac15427	407	organism
bac15429	81	organism
bac15440	414996	organism
bac15443	76020	organism
bac15448	876270	organism
bac15449	1774968	organism
bac15465	103731	organism
bac15493	43658	organism
bac155	550	organism
bac15502	66883	organism
bac15507	340148	organism
bac15531	1887	organism
bac15612	98672	organism
bac15623	36832	organism
bac15625	45254	organism
bac15627	2066070	organism
bac15628	158877	organism
bac15641	132476	organism
bac15655	191960	organism
bac15656	355591	organism
bac15659	55779	organism
bac15660	202604	organism
bac15661	1266720	organism
bac15662	676965	organism
bac15663	35746	organism
bac15666	400634	organism
bac15668	41273	organism
bac15669	45497	organism
bac15688	85558	organism
bac15692	200451	organism
bac15694	243924	organism
bac15705	1372	organism
bac15706	299767	organism
bac15709	288965	organism
bac15711	225843	organism
bac15712	343517	organism
bac15715	44249	organism
bac15718	44249	organism
bac15720	171164	organism
bac15721	1340529	organism
bac15724	44000	organism
bac15728	264251	organism
bac15731	55205	organism
bac15732	1133546	organism
bac15747	198620	organism
bac15759	1646	organism
bac15762	29341	organism
bac15766	305977	organism
bac15767	363952	organism
bac15776	1619234	organism
bac15810	46351	organism
bac15819	121821	organism
bac15820	381306	organism
bac15821	415747	organism
bac15822	585455	organism
bac15823	107820	organism
bac15824	152475	organism
bac15825	106634	organism
bac15826	108003	organism
bac15827	252474	organism
bac15828	147267	organism
bac15829	469656	organism
bac15830	233100	organism
bac15834	34090	organism
bac15835	923	organism
bac15836	39765	organism
bac15843	285530	organism
bac15849	444163	organism
bac1585	77524	organism
bac15850	71452	organism
bac15854	412384	organism
bac1586	80866	organism
bac15860	357276	organism
bac1587	1264899	organism
bac15871	264574	organism
bac15872	189691	organism
bac1588	283	organism
bac1589	32013	organism
bac1590	285	organism
bac15936	1641	organism
bac15937	529731	organism
bac15938	647910	organism
bac15942	1678	organism
bac15943	1678	organism
bac15944	1678	organism
bac15945	1678	organism
bac15946	1678	organism
bac15947	78343	organism
bac15949	212365	organism
bac15950	35760	organism
bac15951	1694	synonym
bac15952	1769423	organism
bac15953	1769421	organism
bac15955	983706	organism
bac15960	1208324	organism
bac15969	227943	organism
bac15970	158850	organism
bac15971	418699	organism
bac15984	497727	organism
bac15987	285679	organism
bac15988	1383	organism
bac15990	45851	organism
bac15991	656519	organism
bac15993	1161942	organism
bac15994	184064	organism
bac15998	1827	organism
bac16004	28112	organism
bac16007	458033	organism
bac16026	216465	organism
bac16028	423351	organism
bac16029	29391	organism
bac16034	191292	organism
bac16051	1790137	organism
bac16054	1844	organism
bac16063	413889	organism
bac16064	547461	organism
bac16067	154117	organism
bac16072	151895	organism
bac16074	28111	organism
bac16075	1763536	organism
bac16088	119	organism
bac1609	33042	organism
bac16090	47251	organism
bac16096	593909	organism
bac161	1377	organism
bac16113	180915	organism
bac16116	717609	organism
bac16117	108	organism
bac16118	154	organism
bac16119	156974	organism
bac16126	377615	organism
bac16127	291990	organism
bac16129	89784	organism
bac16149	1515612	organism
bac16154	159449	organism
bac16195	123841	organism
bac16196	213	organism
bac162	648	organism
bac16201	29546	organism
bac16222	84595	organism
bac16227	446660	organism
bac16257	135575	organism
bac16262	126333	organism
bac16270	29510	organism
bac16280	300028	organism
bac16282	67339	organism
bac16293	103733	organism
bac16297	86664	organism
bac16299	1033846	organism
bac16301	148814	organism
bac16310	483545	organism
bac16315	2110	organism
bac16317	287986	organism
bac16318	33876	organism
bac16319	1003110	organism
bac16320	285268	organism
bac16321	351187	organism
bac16322	363277	organism
bac16323	405782	organism
bac16324	1968	organism
bac16325	1355015	organism
bac16326	67373	organism
bac16327	208439	organism
bac16328	67332	organism
bac16329	105420	organism
bac16330	411235	organism
bac16331	452529	organism
bac16332	40571	organism
bac16333	358823	organism
bac16336	342113	organism
bac16337	53461	organism
bac16338	43662	organism
bac16339	28110	organism
bac16350	348818	organism
bac16353	1509405	organism
bac16354	68213	organism
bac16355	183763	organism
bac16356	282685	organism
bac16361	330084	organism
bac16362	228601	organism
bac16364	1141657	organism
bac16365	85688	organism
bac16366	687388	organism
bac16368	1445505	organism
bac16369	552518	organism
bac16370	379896	organism
bac16371	1528106	organism
bac16372	293089	organism
bac16382	106590	organism
bac16386	483913	organism
bac16398	315358	organism
bac164	644	organism
bac1640	144185	organism
bac16403	44249	organism
bac1641	280	organism
bac16414	196015	organism
bac16426	1450	organism
bac16429	1302659	organism
bac1643	1721	organism
bac16430	1421019	organism
bac16436	552546	organism
bac16440	651663	organism
bac16442	159723	organism
bac16443	554949	organism
bac16444	76853	organism
bac16448	595605	organism
bac1645	1717	organism
bac1646	43767	organism
bac16467	1505907	organism
bac1647	28028	organism
bac16488	141349	organism
bac16489	47839	organism
bac1650	1404244	organism
bac1651	28264	organism
bac16510	122	organism
bac16526	208444	organism
bac16547	915059	organism
bac16550	336203	organism
bac1656	1722	organism
bac16566	61624	organism
bac16574	130049	organism
bac16579	40518	organism
bac1658	1719	organism
bac16580	85993	organism
bac16582	1324956	organism
bac16586	1648923	organism
