Agromyces archimandritae
Agromyces atrinae
Agromyces aurantiacus
Agromyces aureus
Agromyces badenianii
Agromyces bauzanensis
Agromyces binzhouensis
Agromyces bracchium
Agromyces cavernae
Agromyces cerinus
Agromyces cerinus subsp. cerinus
Agromyces cerinus subsp. nitratus
Agromyces flavus
Agromyces fucosus
Agromyces fucosus subsp. hippuratus
Agromyces humatus
Agromyces humi
Agromyces indicus
Agromyces insulae
Agromyces intestinalis
Agromyces iriomotensis
Agromyces italicus
Agromyces kandeliae
Agromyces lapidis
Agromyces larvae
Agromyces luteolus
Agromyces mangrovi
Agromyces mariniharenae
Agromyces marinus
Agromyces mediolanus
Agromyces neolithicus
Agromyces protaetiae
Agromyces ramosus
Agromyces rhizosphaerae
Agromyces salentinus
Agromyces seonyuensis
Agromyces soli
Agromyces sp.
Agromyces subbeticus
Agromyces subtropicus
Agromyces tardus
Agromyces terreus
Agromyces tropicus
Agromyces ulmi
Ahniella affigens
Ahrensia kielensis
Ahrensia marina
Aidingibacillus halophilus
Aidingimonas halophila
Aidingimonas lacisalsi
Aidingimonas sp.
Akkermansia biwaensis
Akkermansia glycaniphila
Akkermansia muciniphila
Albertania alaskaensis
Albibacillus kandeliae
Albibacter helveticus
Albibacter methylovorans
Albibacterium bauzanense
Albidiferax ferrireducens
Albidovulum inexpectatum
Albidovulum sp.
Albimonas donghaensis
Albimonas pacifica
Albirhodobacter confluentis
Albirhodobacter marinus
Alcaligenes aquatilis
Alcaligenes endophyticus
Alcaligenes faecalis
Alcaligenes faecalis subsp. faecalis
Alcaligenes faecalis subsp. parafaecalis
Alcaligenes faecalis subsp. phenolicus
Alcaligenes nematophilus
Alcaligenes pakistanensis
Alcaligenes sp.
Alcaligenes tolerans
Alcanivorax balearicus
Alcanivorax borkumensis
Alcanivorax dieselolei
Alcanivorax gelatiniphagus
Alcanivorax hongdengensis
Alcanivorax indicus
Alcanivorax jadensis
Alcanivorax marinus
Alcanivorax mobilis
Alcanivorax nanhaiticus
Alcanivorax pacificus
Alcanivorax profundi
Alcanivorax profundimaris
Alcanivorax quisquiliarum
Alcanivorax sediminis
Alcanivorax sp.
Alcanivorax venustensis
Alcanivorax xenomutans
Alcanivorax xiamenensis
Aldersonia kunmingensis
Algibacillus agarilyticus
Algibacter agarilyticus
Algibacter agarivorans
Algibacter amylolyticus
Algibacter aquaticus
Algibacter aquimarinus
Algibacter lectus
Algibacter luteus
Algibacter marinivivus
Algibacter mikhailovii
Algibacter miyuki
Algibacter onchidii
Algibacter pacificus
Algibacter pectinivorans
Algibacter psychrophilus
Algibacter sp.
Algibacter undariae
Algicella marina
Algicola bacteriolytica
Algicola sagamiensis
Algihabitans albus
Algimonas ampicilliniresistens
Algimonas arctica
Algimonas porphyrae
Alginatibacterium sediminis
Algiphilus acroporae
Algiphilus aromaticivorans
Algisphaera agarilytica
Algitalea ulvae
Algivirga pacifica
Algoriella xinjiangensis
Algoriphagus aestuarii
Algoriphagus aestuariicola
Algoriphagus alkaliphilus
Algoriphagus antarcticus
Algoriphagus aquaeductus
Algoriphagus aquaemixtae
Algoriphagus aquatilis
Algoriphagus aquimarinus
Algoriphagus aquimaris
Algoriphagus boritolerans
Algoriphagus boseongensis
Algoriphagus chordae
Algoriphagus chungangensis
Algoriphagus confluentis
Algoriphagus faecimaris
Algoriphagus formosus
Algoriphagus halophilus
Algoriphagus hitonicola
Algoriphagus iocasae
Algoriphagus jejuensis
Algoriphagus kandeliae
Algoriphagus lacus
Algoriphagus litoralis
Algoriphagus litorisediminis
Algoriphagus locisalis
Algoriphagus lutimaris
Algoriphagus machipongonensis
Algoriphagus mannitolivorans
Algoriphagus marincola
Algoriphagus marinus
Algoriphagus marisflavi
Algoriphagus namhaensis
Algoriphagus olei
Algoriphagus oliviformis
Algoriphagus ornithinivorans
Algoriphagus pacificus
Algoriphagus ratkowskyi
Algoriphagus resistens
Algoriphagus roseus
Algoriphagus sanaruensis
Algoriphagus sp.
Algoriphagus taeanensis
Algoriphagus taiwanensis
Algoriphagus terrigena
Algoriphagus trabzonensis
Algoriphagus vanfongensis
Algoriphagus winogradskyi
Algoriphagus yeomjeoni
