namespace	ec_number
enz63880	1.3.1.79	ec_class
enz63882	2.3.1.174	ec_class
enz63883	2.1.3.9	ec_class
enz63884	2.1.1.157	ec_class
enz63885	2.1.1.156	ec_class
enz63886	1.8.98.2	ec_class
enz63887	1.5.7.1	ec_class
enz63888	1.4.1.21	ec_class
enz63889	1.14.13.92	ec_class
enz63890	1.3.3.11	ec_class
enz63891	1.1.1.287	ec_class
enz63892	1.1.1.286	ec_class
enz63893	2.6.1.78	ec_class
enz63894	1.14.14.136	ec_class
enz63895	1.14.15.21	ec_class
enz63896	1.14.14.90	ec_class
enz63897	1.14.12.19	ec_class
enz63898	1.14.11.25	ec_class
enz63899	1.14.11.24	ec_class
enz63900	1.10.5.1	ec_class
enz63901	1.1.1.285	ec_class
enz63902	3.2.1.154	ec_class
enz63903	4.8.1.4	ec_class
enz63905	4.2.1.106	ec_class
enz63906	4.1.1.84	ec_class
enz63907	4.1.1.83	ec_class
enz63908	4.1.1.82	ec_class
enz63909	3.5.1.92	ec_class
enz63910	3.5.1.91	ec_class
enz63911	3.4.21.105	ec_class
enz63912	3.4.21.104	ec_class
enz63913	2.4.1.241	ec_class
enz63914	2.4.1.242	ec_class
enz63915	3.2.1.153	ec_class
enz63916	3.2.1.152	ec_class
enz63917	3.2.1.156	ec_class
enz63919	2.8.2.33	ec_class
enz63920	2.8.2.32	ec_class
enz63921	2.7.9.5	ec_class
enz63922	2.7.2.15	ec_class
enz63923	2.7.1.157	ec_class
enz63924	2.6.1.79	ec_class
enz63925	6.3.1.11	ec_class
enz63927	1.14.20.5	ec_class
enz63928	1.14.20.6	ec_class
enz63929	1.14.14.135	ec_class
enz63931	1.14.14.162	ec_class
enz63932	1.14.14.81	ec_class
enz63933	1.2.1.70	ec_class
enz63934	1.3.1.77	ec_class
enz63935	1.8.5.2	ec_class
enz63936	2.1.1.153	ec_class
enz63937	2.1.1.154	ec_class
enz63938	2.1.1.155	ec_class
enz63939	2.3.1.170	ec_class
enz63940	2.3.1.171	ec_class
enz63941	2.3.1.172	ec_class
enz63942	2.3.1.173	ec_class
enz63943	2.4.1.234	ec_class
enz63945	2.4.1.236	ec_class
enz63946	2.4.1.237	ec_class
enz63947	2.4.1.238	ec_class
enz63948	2.4.1.239	ec_class
enz63949	2.4.1.240	ec_class
enz63950	2.5.1.65	ec_class
enz63951	2.5.1.66	ec_class
enz63952	2.8.2.31	ec_class
enz63953	3.1.3.74	ec_class
enz63954	3.1.3.75	ec_class
enz63956	4.2.1.105	ec_class
enz63957	4.2.2.22	ec_class
enz63958	4.4.1.21	ec_class
enz63959	4.4.1.22	ec_class
enz63960	2.6.1.80	ec_class
enz63961	1.1.1.288	ec_class
enz63962	1.2.3.14	ec_class
enz63963	1.3.99.23	ec_class
enz63964	1.13.11.51	ec_class
enz63965	1.14.11.26	ec_class
enz63966	1.14.14.137	ec_class
enz63967	1.14.14.138	ec_class
enz63969	1.14.14.139	ec_class
enz63970	1.14.14.57	ec_class
enz63971	1.14.14.25	ec_class
enz63972	1.14.14.26	ec_class
enz63973	1.14.14.29	ec_class
enz63975	1.14.99.38	ec_class
enz63976	1.17.99.3	ec_class
enz63977	2.3.1.175	ec_class
enz63978	2.3.1.176	ec_class
enz63979	2.8.2.34	ec_class
enz63980	3.1.2.27	ec_class
enz63981	3.5.1.93	ec_class
enz63982	4.1.1.85	ec_class
enz63983	4.2.1.107	ec_class
enz63984	5.1.3.22	ec_class
enz63985	5.3.99.8	ec_class
enz63986	5.3.99.9	ec_class
enz63987	2.4.1.B1	ec_class
enz63988	1.14.19.4	ec_class
enz64010	2.7.11.10	ec_class
enz64011	2.7.11.11	ec_class
enz64012	2.7.11.12	ec_class
enz64013	2.7.11.13	ec_class
enz64014	2.7.11.16	ec_class
enz64015	2.7.11.21	ec_class
enz64016	2.7.11.25	ec_class
enz64017	2.7.11.30	ec_class
enz64018	2.7.12.2	ec_class
enz64020	1.23.5.1	ec_class
enz64021	1.3.98.3	ec_class
enz64022	1.8.4.12	ec_class
enz64023	1.8.4.11	ec_class
enz64025	2.5.1.81	ec_class
enz64026	3.2.1.155	ec_class
enz64027	3.4.21.B3	ec_class
enz64028	3.4.23.B1	ec_class
enz64029	3.4.17.23	ec_class
enz64030	2.7.4.33	ec_class
enz64032	1.1.1.289	ec_class
enz64033	1.1.1.290	ec_class
enz64035	5.1.1.18	ec_class
enz64037	5.5.1.14	ec_class
enz64039	1.2.1.71	ec_class
enz64040	1.2.1.72	ec_class
enz64041	1.11.1.16	ec_class
enz64042	1.13.11.52	ec_class
enz64043	1.13.11.53	ec_class
enz64044	1.13.11.54	ec_class
enz64045	1.13.11.55	ec_class
enz64046	1.14.13.122	ec_class
enz64047	2.3.1.177	ec_class
enz64048	2.3.1.180	ec_class
enz64049	2.3.1.181	ec_class
enz64050	2.3.1.179	ec_class
enz64051	2.3.1.178	ec_class
enz64052	2.4.1.243	ec_class
enz64053	2.4.1.244	ec_class
enz64054	2.6.1.81	ec_class
enz64055	2.6.99.2	ec_class
enz64056	2.7.1.158	ec_class
enz64057	2.7.1.159	ec_class
enz64058	2.7.4.22	ec_class
enz64059	6.3.1.20	ec_class
enz64060	2.8.1.8	ec_class
enz64061	3.1.3.76	ec_class
enz64062	3.1.13.5	ec_class
enz64063	3.2.1.157	ec_class
enz64064	3.2.1.158	ec_class
enz64065	3.2.1.159	ec_class
enz64066	3.2.1.161	ec_class
enz64067	3.3.2.9	ec_class
enz64068	3.3.2.10	ec_class
enz64069	3.3.2.11	ec_class
enz64071	3.5.1.94	ec_class
enz64072	3.5.1.95	ec_class
enz64073	3.5.1.96	ec_class
enz64074	3.5.3.23	ec_class
enz64075	4.1.1.86	ec_class
enz64076	4.1.3.39	ec_class
enz64077	4.2.3.22	ec_class
enz64078	4.2.3.23	ec_class
enz64079	4.2.3.24	ec_class
enz64080	4.2.3.25	ec_class
enz64081	4.2.3.26	ec_class
enz64082	4.2.1.108	ec_class
enz64083	4.4.1.24	ec_class
enz64084	4.4.1.25	ec_class
enz64085	5.3.3.14	ec_class
enz64086	5.4.99.18	ec_class
enz64087	6.3.4.18	ec_class
enz64088	1.7.1.13	ec_class
enz64089	3.1.1.81	ec_class
enz64090	2.3.1.184	ec_class
enz64091	3.5.1.97	ec_class
enz64093	1.14.11.27	ec_class
enz64095	1.8.4.13	ec_class
enz64096	1.8.4.14	ec_class
enz64097	2.4.1.245	ec_class
enz64098	2.6.1.82	ec_class
enz64099	2.6.1.83	ec_class
enz64100	2.7.1.160	ec_class
enz64101	2.7.4.23	ec_class
enz64102	3.1.1.80	ec_class
enz64103	3.1.3.77	ec_class
enz64104	3.4.15.6	ec_class
enz64105	4.2.1.109	ec_class
enz64106	4.2.2.20	ec_class
enz64107	4.2.2.21	ec_class
enz64108	6.3.2.49	ec_class
enz64109	6.3.2.30	ec_class
enz64110	6.3.2.29	ec_class
enz64111	4.1.3.40	ec_class
enz64112	1.14.11.28	ec_class
enz64115	1.4.3.20	ec_class
enz64116	1.1.1.291	ec_class
enz64117	1.1.99.31	ec_class
enz64118	2.7.7.64	ec_class
enz64119	2.7.8.27	ec_class
enz64120	3.5.2.18	ec_class
enz64121	4.2.1.110	ec_class
enz64122	4.2.1.111	ec_class
enz64123	5.3.2.7	ec_class
enz64124	6.3.1.12	ec_class
enz64125	6.4.1.7	ec_class
enz64126	3.1.4.53	ec_class
enz64127	3.1.3.78	ec_class
enz64129	1.1.1.292	ec_class
enz64130	3.2.1.162	ec_class
enz64131	3.4.21.120	ec_class
enz64132	3.11.1.3	ec_class
enz64133	1.1.1.301	ec_class
enz64134	2.5.1.67	ec_class
enz64135	2.5.1.68	ec_class
enz64136	2.5.1.69	ec_class
enz64137	3.2.2.25	ec_class
enz64138	4.2.1.112	ec_class
enz64139	4.2.3.27	ec_class
enz64140	2.6.1.84	ec_class
enz64141	2.8.2.B1	ec_class
enz64142	2.1.1.158	ec_class
enz64143	2.1.1.159	ec_class
enz64144	2.1.1.160	ec_class
enz64145	2.7.4.B1	ec_class
enz64146	1.1.99.B1	ec_class
enz64147	1.14.11.66	ec_class
enz64148	1.14.11.67	ec_class
enz64149	3.1.26.12	ec_class
enz64154	3.6.4.B1	ec_class
enz64156	2.3.3.21	ec_class
enz64158	3.2.1.164	ec_class
enz64159	4.1.99.12	ec_class
enz64160	6.1.1.26	ec_class
enz64161	1.11.1.B2	ec_class
enz64163	1.11.1.B6	ec_class
enz64164	1.11.1.B7	ec_class
enz64165	1.11.1.B8	ec_class
enz64166	1.14.19.9	ec_class
enz64168	2.1.1.161	ec_class
enz64169	2.1.1.162	ec_class
enz64170	2.3.1.183	ec_class
enz64172	2.3.1.225	ec_class
enz64173	1.14.14.141	ec_class
enz64174	1.14.14.142	ec_class
enz64175	2.5.1.70	ec_class
enz64176	2.5.1.71	ec_class
enz64178	3.2.1.163	ec_class
enz64179	1.1.1.294	ec_class
enz64180	1.3.7.12	ec_class
enz64181	3.1.1.82	ec_class
enz64182	4.3.1.22	ec_class
enz64183	5.1.3.23	ec_class
enz64184	1.14.15.17	ec_class
enz64186	2.7.7.69	ec_class
enz64187	6.1.1.27	ec_class
enz64188	2.5.1.73	ec_class
enz64189	6.2.1.45	ec_class
enz64191	4.2.1.146	ec_class
enz64194	2.7.99.B1	ec_class
enz64195	1.1.99.32	ec_class
enz64196	3.5.1.98	ec_class
enz64197	2.7.7.65	ec_class
enz64198	3.1.4.52	ec_class
enz64199	2.1.1.B3	ec_class
enz64201	2.1.1.165	ec_class
enz64202	1.1.1.295	ec_class
enz64203	1.3.7.6	ec_class
enz64204	1.3.8.16	ec_class
enz64205	2.3.1.185	ec_class
enz64206	2.3.1.186	ec_class
enz64207	2.6.1.86	ec_class
enz64208	2.7.1.161	ec_class
enz64209	2.7.1.162	ec_class
enz64210	3.2.1.165	ec_class
enz64211	4.2.3.28	ec_class
enz64212	4.2.3.29	ec_class
enz64213	4.2.3.30	ec_class
enz64214	4.2.3.31	ec_class
enz64215	4.2.3.32	ec_class
enz64216	4.2.3.33	ec_class
enz64217	4.2.3.34	ec_class
enz64218	4.2.3.35	ec_class
enz64219	3.6.1.75	ec_class
enz64220	1.1.1.296	ec_class
enz64221	1.1.1.297	ec_class
enz64222	1.3.99.25	ec_class
enz64223	1.14.13.105	ec_class
enz64224	2.2.1.9	ec_class
enz64225	4.2.99.20	ec_class
enz64226	2.7.7.66	ec_class
enz64227	3.1.1.83	ec_class
enz64229	4.2.3.36	ec_class
enz64230	5.5.1.15	ec_class
enz64231	5.5.1.16	ec_class
enz64232	3.4.24.B24	ec_class
enz64233	4.3.1.23	ec_class
enz64234	4.3.1.24	ec_class
enz64235	4.3.1.25	ec_class
enz64236	4.2.1.125	ec_class
enz64237	5.4.99.39	ec_class
enz64238	5.4.99.41	ec_class
enz64240	3.4.24.B25	ec_class
enz64241	1.2.1.73	ec_class
enz64242	1.3.1.81	ec_class
enz64243	1.4.3.21	ec_class
enz64244	1.4.3.22	ec_class
enz64245	1.14.14.143	ec_class
enz64246	1.3.1.82	ec_class
enz64248	3.5.1.104	ec_class
enz64249	3.5.1.105	ec_class
enz64250	3.2.1.B1	ec_class
enz64251	3.4.21.B49	ec_class
enz64253	3.4.24.B23	ec_class
enz64255	4.1.99.13	ec_class
enz64256	3.5.1.B4	ec_class
enz64257	3.5.1.B18	ec_class
enz64258	1.1.1.300	ec_class
enz64259	1.1.5.5	ec_class
enz64260	1.1.5.B1	ec_class
enz64266	1.13.11.B1	ec_class
enz64267	1.1.5.B3	ec_class
enz64268	1.1.1.B3	ec_class
enz64269	1.1.1.B4	ec_class
enz64270	1.8.4.B3	ec_class
enz64271	1.13.12.15	ec_class
enz64272	2.1.3.10	ec_class
enz64273	2.1.3.11	ec_class
enz64274	2.3.1.187	ec_class
enz64275	2.5.1.72	ec_class
enz64276	3.2.2.26	ec_class
enz64277	3.6.1.53	ec_class
enz64278	4.1.1.87	ec_class
enz64279	4.1.1.88	ec_class
enz64280	7.2.4.4	ec_class
enz64281	4.1.2.43	ec_class
enz64282	7.2.4.1	ec_class
enz64283	5.1.99.5	ec_class
enz64284	5.3.1.27	ec_class
enz64285	6.2.1.35	ec_class
enz64286	1.14.15.39	ec_class
enz64287	1.14.19.69	ec_class
enz64288	4.2.3.37	ec_class
enz64289	3.4.21.B50	ec_class
enz64290	1.14.14.B11	ec_class
enz64291	1.14.14.178	ec_class
enz64292	4.2.1.119	ec_class
enz64293	1.1.5.7	ec_class
enz64294	2.5.1.79	ec_class
enz64295	2.5.1.80	ec_class
enz64296	2.5.1.78	ec_class
enz64297	2.7.1.165	ec_class
enz64298	1.1.5.3	ec_class
enz64299	1.3.5.2	ec_class
enz64300	2.4.1.246	ec_class
enz64301	3.1.3.79	ec_class
enz64302	2.7.1.163	ec_class
enz64304	1.1.99.B3	ec_class
enz64306	1.14.19.6	ec_class
enz64307	1.4.1.B2	ec_class
enz64308	1.8.1.B1	ec_class
enz64311	1.7.1.B1	ec_class
enz64312	1.14.13.107	ec_class
enz64313	4.2.1.114	ec_class
enz64314	4.2.1.115	ec_class
enz64315	4.2.3.38	ec_class
enz64316	4.2.3.39	ec_class
enz64317	4.2.3.40	ec_class
enz64318	1.3.99.B2	ec_class
enz64320	3.4.22.B60	ec_class
enz64321	3.4.22.B61	ec_class
enz64322	3.4.22.B62	ec_class
enz64324	1.14.13.111	ec_class
enz64325	5.4.99.63	ec_class
enz64326	3.4.23.B17	ec_class
enz64327	3.4.23.B18	ec_class
enz64328	3.4.23.B19	ec_class
enz64329	3.2.2.27	ec_class
enz64330	3.2.2.29	ec_class
enz64331	3.2.2.28	ec_class
enz64332	2.4.1.B3	ec_class
enz64333	2.4.1.385	ec_class
enz64334	2.4.1.249	ec_class
enz64335	5.3.3.B2	ec_class
enz64336	4.1.99.14	ec_class
enz64337	3.4.22.B63	ec_class
enz64338	3.4.22.B64	ec_class
enz64339	3.4.23.51	ec_class
enz64340	3.4.23.B20	ec_class
enz64341	6.3.2.61	ec_class
enz64342	6.3.2.B4	ec_class
enz64343	2.4.1.247	ec_class
enz64344	6.1.1.B3	ec_class
enz64345	6.2.1.36	ec_class
enz64346	6.2.1.B3	ec_class
enz64347	1.2.1.74	ec_class
enz64348	1.3.1.83	ec_class
enz64349	1.14.14.144	ec_class
enz64350	1.14.14.145	ec_class
enz64351	1.14.14.146	ec_class
enz64352	3.1.7.5	ec_class
enz64353	4.2.3.41	ec_class
enz64354	4.2.3.42	ec_class
enz64355	4.2.3.43	ec_class
enz64356	4.2.3.44	ec_class
enz64357	2.7.7.B3	ec_class
enz64358	3.1.3.80	ec_class
enz64359	3.2.1.B3	ec_class
enz64360	1.17.2.2	ec_class
enz64361	1.14.14.147	ec_class
enz64364	3.2.1.166	ec_class
enz64365	1.5.3.17	ec_class
enz64366	1.5.3.15	ec_class
enz64367	1.5.3.14	ec_class
enz64368	1.5.3.13	ec_class
enz64369	1.5.3.16	ec_class
enz64370	3.1.3.B4	ec_class
enz64372	3.6.4.13	ec_class
enz64375	1.2.2.B1	ec_class
enz64376	1.2.2.B2	ec_class
enz64377	1.1.2.7	ec_class
enz64378	1.1.2.B2	ec_class
enz64379	1.1.2.B3	ec_class
enz64380	1.1.5.4	ec_class
enz64382	2.7.1.164	ec_class
enz64383	2.7.7.B4	ec_class
enz64384	2.7.7.B5	ec_class
enz64385	2.8.1.13	ec_class
enz64386	2.8.1.B2	ec_class
enz64387	2.8.1.B3	ec_class
enz64388	2.9.1.2	ec_class
enz64389	3.5.1.99	ec_class
enz64390	3.5.1.101	ec_class
enz64391	3.5.1.100	ec_class
enz64392	4.2.3.46	ec_class
enz64393	4.2.99.B1	ec_class
enz64394	4.99.1.8	ec_class
enz64395	3.4.22.B65	ec_class
enz64396	3.4.22.B66	ec_class
enz64397	1.14.13.113	ec_class
enz64398	1.1.1.298	ec_class
enz64399	1.1.1.299	ec_class
enz64400	1.2.1.75	ec_class
enz64401	1.2.1.76	ec_class
enz64402	1.3.1.84	ec_class
enz64403	2.1.1.163	ec_class
enz64404	2.3.1.188	ec_class
enz64406	2.4.1.248	ec_class
enz64407	2.4.2.41	ec_class
enz64409	2.5.1.74	ec_class
enz64410	2.5.1.76	ec_class
enz64411	3.1.26.13	ec_class
enz64412	3.7.1.11	ec_class
enz64413	4.1.1.90	ec_class
enz64414	4.2.1.116	ec_class
enz64415	4.2.1.117	ec_class
enz64416	4.2.1.118	ec_class
enz64417	4.2.1.120	ec_class
enz64418	4.2.3.45	ec_class
enz64420	1.4.3.23	ec_class
enz64421	1.8.1.16	ec_class
enz64422	1.11.1.17	ec_class
enz64423	1.13.12.17	ec_class
enz64424	1.14.99.39	ec_class
enz64425	2.1.1.164	ec_class
enz64426	2.3.1.189	ec_class
enz64427	2.4.1.250	ec_class
enz64428	3.5.1.103	ec_class
enz64429	1.21.98.2	ec_class
enz64430	1.1.1.302	ec_class
enz64431	1.1.1.307	ec_class
enz64432	1.1.1.305	ec_class
enz64433	1.1.2.6	ec_class
enz64434	1.17.5.3	ec_class
enz64435	1.17.98.4	ec_class
enz64436	1.1.98.2	ec_class
enz64437	1.13.11.56	ec_class
enz64439	1.14.11.29	ec_class
enz64440	1.14.11.30	ec_class
enz64441	1.14.11.31	ec_class
enz64442	1.14.11.32	ec_class
enz64443	1.14.13.208	ec_class
enz64444	1.14.13.114	ec_class
enz64445	1.14.14.148	ec_class
enz64446	1.14.15.8	ec_class
enz64450	1.2.1.77	ec_class
enz64451	1.2.1.78	ec_class
enz64453	1.20.4.3	ec_class
enz64454	1.3.5.3	ec_class
enz64455	1.4.5.1	ec_class
enz64457	1.5.99.13	ec_class
enz64458	1.7.5.1	ec_class
enz64460	2.1.1.269	ec_class
enz64461	2.1.1.167	ec_class
enz64462	2.1.1.168	ec_class
enz64463	2.1.1.185	ec_class
enz64464	2.1.1.186	ec_class
enz64465	2.1.2.13	ec_class
enz64466	2.3.1.191	ec_class
enz64467	2.4.2.42	ec_class
enz64468	2.4.2.62	ec_class
enz64469	2.4.2.43	ec_class
enz64470	2.4.2.B4	ec_class
enz64471	2.4.99.12	ec_class
enz64472	2.4.99.13	ec_class
enz64473	2.4.99.14	ec_class
enz64474	2.4.99.15	ec_class
enz64476	2.6.1.87	ec_class
enz64477	2.7.1.168	ec_class
enz64478	2.7.1.166	ec_class
enz64479	2.7.1.167	ec_class
enz64480	2.7.7.68	ec_class
enz64481	2.7.7.70	ec_class
enz64482	2.7.7.71	ec_class
enz64483	2.7.8.28	ec_class
enz64484	2.7.8.B2	ec_class
enz64485	2.8.4.2	ec_class
enz64486	3.1.1.84	ec_class
enz64487	3.1.3.82	ec_class
enz64488	3.1.3.83	ec_class
enz64490	3.4.24.B26	ec_class
enz64491	3.4.99.B2	ec_class
enz64492	3.5.1.106	ec_class
enz64493	3.5.1.107	ec_class
enz64494	3.5.1.108	ec_class
enz64495	3.5.1.B13	ec_class
enz64497	3.5.1.102	ec_class
enz64498	3.6.1.54	ec_class
enz64499	4.1.2.44	ec_class
enz64500	4.1.2.45	ec_class
enz64501	4.2.3.47	ec_class
enz64502	5.3.1.28	ec_class
enz64503	5.99.1.4	ec_class
enz64504	6.3.2.31	ec_class
enz64505	6.3.2.32	ec_class
enz64506	6.3.2.33	ec_class
enz64507	6.3.2.34	ec_class
enz64508	1.1.1.303	ec_class
enz64509	1.1.1.304	ec_class
enz64510	1.13.11.79	ec_class
enz64511	1.21.1.1	ec_class
enz64512	2.3.1.190	ec_class
enz64513	1.14.13.195	ec_class
enz64515	2.4.1.255	ec_class
enz64517	5.3.1.B3	ec_class
enz64520	1.1.2.8	ec_class
enz64521	1.1.9.1	ec_class
enz64522	1.1.99.35	ec_class
enz64524	1.2.5.1	ec_class
enz64525	1.8.7.2	ec_class
enz64526	1.17.2.1	ec_class
enz64527	2.1.1.166	ec_class
enz64528	2.3.2.16	ec_class
enz64529	2.3.2.17	ec_class
enz64530	2.3.2.18	ec_class
enz64531	2.1.1.169	ec_class
enz64532	2.1.1.170	ec_class
enz64533	2.1.1.171	ec_class
enz64534	2.1.1.172	ec_class
enz64535	2.1.1.173	ec_class
enz64536	2.1.1.174	ec_class
enz64537	3.1.7.6	ec_class
enz64538	4.2.3.48	ec_class
enz64539	4.2.3.49	ec_class
enz64541	2.3.1.193	ec_class
enz64542	2.7.8.29	ec_class
enz64543	1.11.1.18	ec_class
enz64544	4.3.3.5	ec_class
enz64545	1.1.1.309	ec_class
enz64546	1.1.1.308	ec_class
enz64547	1.1.99.B6	ec_class
enz64548	1.13.11.58	ec_class
enz64549	1.13.11.B6	ec_class
enz64550	1.14.14.174	ec_class
enz64552	1.11.1.23	ec_class
enz64554	1.20.4.4	ec_class
enz64555	2.1.1.176	ec_class
enz64556	2.1.1.175	ec_class
enz64557	2.1.1.177	ec_class
enz64558	2.1.1.178	ec_class
enz64559	2.1.1.179	ec_class
enz64560	2.1.1.180	ec_class
enz64561	2.1.1.181	ec_class
enz64562	2.1.1.182	ec_class
enz64563	2.1.1.183	ec_class
enz64564	2.1.1.184	ec_class
enz64565	2.1.1.193	ec_class
enz64566	2.1.1.187	ec_class
enz64567	2.1.1.188	ec_class
enz64568	2.1.1.189	ec_class
enz64569	2.1.1.190	ec_class
enz64570	2.1.1.270	ec_class
enz64571	2.1.1.191	ec_class
enz64572	2.1.1.192	ec_class
enz64574	2.1.1.308	ec_class
enz64575	2.1.1.198	ec_class
enz64576	2.1.1.199	ec_class
enz64577	2.1.1.222	ec_class
enz64578	2.1.1.201	ec_class
enz64579	2.3.1.263	ec_class
enz64580	2.3.1.194	ec_class
enz64581	2.4.1.264	ec_class
enz64582	2.4.1.251	ec_class
enz64583	2.4.1.253	ec_class
enz64584	2.4.1.254	ec_class
enz64585	2.4.1.252	ec_class
enz64586	2.4.1.B7	ec_class
enz64587	2.4.1.B9	ec_class
enz64588	2.5.1.82	ec_class
enz64589	2.5.1.83	ec_class
enz64590	2.5.1.84	ec_class
enz64591	2.5.1.85	ec_class
enz64592	2.5.1.B14	ec_class
enz64593	2.5.1.86	ec_class
enz64594	2.5.1.87	ec_class
enz64595	2.5.1.88	ec_class
enz64596	2.5.1.89	ec_class
enz64597	2.5.1.92	ec_class
enz64598	2.5.1.93	ec_class
enz64601	2.7.1.169	ec_class
enz64602	2.7.8.31	ec_class
enz64603	2.7.8.32	ec_class
enz64604	2.8.2.35	ec_class
enz64606	3.1.2.28	ec_class
enz64607	3.2.1.169	ec_class
enz64608	3.2.1.168	ec_class
enz64609	3.2.1.167	ec_class
enz64611	3.5.2.19	ec_class
enz64612	3.5.99.8	ec_class
enz64613	4.1.2.47	ec_class
enz64614	4.1.2.46	ec_class
enz64615	4.1.2.B6	ec_class
enz64616	4.2.1.121	ec_class
enz64617	4.2.1.B5	ec_class
enz64618	4.2.1.B6	ec_class
enz64619	4.2.1.B7	ec_class
enz64620	4.2.1.B8	ec_class
enz64621	4.2.1.B9	ec_class
enz64622	4.2.3.52	ec_class
enz64623	4.2.3.50	ec_class
enz64624	4.2.3.53	ec_class
enz64625	4.2.3.54	ec_class
enz64626	4.2.3.55	ec_class
enz64627	4.2.3.59	ec_class
enz64629	4.2.3.51	ec_class
enz64630	5.3.3.17	ec_class
enz64631	5.4.99.23	ec_class
enz64632	5.4.99.24	ec_class
enz64633	5.4.99.12	ec_class
enz64634	5.4.99.25	ec_class
enz64636	5.4.99.26	ec_class
enz64637	5.4.99.27	ec_class
enz64638	5.4.99.28	ec_class
enz64639	5.4.99.29	ec_class
enz64640	5.4.99.30	ec_class
enz64641	5.4.99.19	ec_class
enz64642	5.4.99.20	ec_class
enz64643	5.4.99.21	ec_class
enz64644	5.4.99.22	ec_class
enz64645	6.2.1.B4	ec_class
enz64646	6.2.1.B5	ec_class
enz64647	6.3.2.36	ec_class
enz64648	6.3.4.22	ec_class
enz64649	6.3.4.19	ec_class
enz64650	1.1.99.36	ec_class
enz64651	1.1.99.37	ec_class
enz64652	1.14.14.8	ec_class
enz64653	2.4.2.53	ec_class
enz64654	6.3.2.35	ec_class
enz64657	1.14.12.22	ec_class
enz64658	1.14.14.39	ec_class
enz64659	1.14.14.38	ec_class
enz64660	1.17.5.2	ec_class
enz64661	2.1.1.195	ec_class
enz64662	2.1.1.196	ec_class
enz64663	2.1.1.197	ec_class
enz64664	2.3.1.192	ec_class
enz64665	2.7.7.72	ec_class
enz64666	3.7.1.12	ec_class
enz64667	3.7.1.13	ec_class
enz64668	4.2.99.21	ec_class
enz64670	3.4.22.B68	ec_class
enz64671	3.4.22.B69	ec_class
enz64673	2.7.7.76	ec_class
enz64674	2.7.7.75	ec_class
enz64675	2.8.1.9	ec_class
enz64676	1.2.1.80	ec_class
enz64677	1.3.1.85	ec_class
enz64678	1.3.1.86	ec_class
enz64679	1.11.1.19	ec_class
enz64680	1.11.2.1	ec_class
enz64681	2.5.1.94	ec_class
enz64683	2.7.4.25	ec_class
enz64684	4.1.3.41	ec_class
enz64685	4.3.1.27	ec_class
enz64686	2.7.7.77	ec_class
enz64687	2.10.1.1	ec_class
enz64688	1.1.1.310	ec_class
enz64690	1.3.7.7	ec_class
enz64691	1.11.1.20	ec_class
enz64692	1.11.2.2	ec_class
enz64693	1.11.2.3	ec_class
enz64694	1.11.2.4	ec_class
enz64695	1.13.12.18	ec_class
enz64696	1.14.14.149	ec_class
enz64697	1.14.14.150	ec_class
enz64698	1.14.14.151	ec_class
enz64699	1.14.19.63	ec_class
enz64700	2.7.7.73	ec_class
enz64701	4.2.3.194	ec_class
enz64702	4.2.3.56	ec_class
enz64703	4.2.3.57	ec_class
enz64704	4.2.3.58	ec_class
enz64706	4.2.3.60	ec_class
enz64707	5.5.1.17	ec_class
enz64708	1.1.1.311	ec_class
enz64711	1.14.13.128	ec_class
enz64712	1.14.13.130	ec_class
enz64713	1.13.11.75	ec_class
enz64714	1.2.1.79	ec_class
enz64715	1.2.1.81	ec_class
enz64716	1.5.3.18	ec_class
enz64717	1.8.3.6	ec_class
enz64718	2.1.1.202	ec_class
enz64719	2.1.1.203	ec_class
enz64720	2.1.1.B43	ec_class
enz64721	2.1.1.207	ec_class
enz64722	2.1.1.200	ec_class
enz64723	2.1.1.205	ec_class
enz64724	2.1.1.204	ec_class
enz64725	2.1.1.206	ec_class
enz64727	2.1.1.209	ec_class
enz64728	2.3.1.196	ec_class
enz64729	2.3.1.195	ec_class
enz64730	2.4.1.257	ec_class
enz64731	2.4.1.258	ec_class
enz64732	2.4.1.259	ec_class
enz64733	2.4.1.260	ec_class
enz64734	2.4.1.261	ec_class
enz64735	2.4.1.267	ec_class
enz64736	2.4.1.265	ec_class
enz64737	2.4.1.256	ec_class
enz64738	2.4.1.266	ec_class
enz64739	2.4.1.268	ec_class
enz64741	2.4.1.270	ec_class
enz64744	2.4.2.44	ec_class
enz64745	2.5.1.90	ec_class
enz64746	2.5.1.91	ec_class
enz64747	2.5.1.B21	ec_class
enz64748	2.6.1.B3	ec_class
enz64749	2.7.1.171	ec_class
enz64750	2.7.1.172	ec_class
enz64752	2.7.7.74	ec_class
enz64753	2.7.8.33	ec_class
enz64754	2.7.8.34	ec_class
enz64756	3.1.1.86	ec_class
enz64757	3.1.1.88	ec_class
enz64758	3.1.1.87	ec_class
enz64759	3.1.3.85	ec_class
enz64760	3.1.3.B8	ec_class
enz64761	3.1.4.54	ec_class
enz64762	3.2.1.172	ec_class
enz64763	3.2.1.173	ec_class
enz64764	3.2.1.174	ec_class
enz64765	3.2.1.179	ec_class
enz64766	3.2.1.180	ec_class
enz64767	3.2.1.175	ec_class
enz64769	3.2.1.B8	ec_class
enz64770	3.2.1.171	ec_class
enz64771	3.4.11.25	ec_class
enz64772	3.4.24.B27	ec_class
enz64773	3.4.24.B28	ec_class
enz64775	4.1.1.91	ec_class
