namespace	ec_number
enz2064	3.1.1.71	ec_class
enz2065	3.1.1.72	ec_class
enz2094	3.1.2.21	ec_class
enz2095	3.1.2.22	ec_class
enz2096	3.1.2.23	ec_class
enz2109	3.1.21.6	ec_class
enz2130	4.6.1.24	ec_class
enz2131	4.6.1.20	ec_class
enz2135	3.1.27.8	ec_class
enz2200	3.1.3.67	ec_class
enz2201	3.1.3.68	ec_class
enz2267	3.1.6.16	ec_class
enz22798	3.1.1.41	ec_class
enz22799	3.1.1.63	ec_class
enz22805	3.1.25.1	ec_class
enz22806	3.1.3.11	ec_class
enz22807	3.1.3.15	ec_class
enz22808	3.1.3.69	ec_class
enz22809	3.1.6.11	ec_class
enz22810	3.1.6.9	ec_class
enz22812	3.2.1.106	ec_class
enz22814	3.1.1.1	ec_class
enz22815	3.2.1.17	ec_class
enz22816	3.2.1.18	ec_class
enz22817	3.2.1.22	ec_class
enz22818	3.2.1.23	ec_class
enz22819	3.2.1.33	ec_class
enz22820	3.2.1.35	ec_class
enz22822	3.2.1.46	ec_class
enz22824	3.2.1.73	ec_class
enz22825	3.2.1.76	ec_class
enz22826	3.2.1.77	ec_class
enz22827	3.2.1.8	ec_class
enz22829	3.2.1.96	ec_class
enz22830	3.2.1.98	ec_class
enz22831	3.2.1.99	ec_class
enz22832	3.2.2.11	ec_class
enz22833	3.2.2.14	ec_class
enz22834	3.2.2.15	ec_class
enz22835	3.2.2.16	ec_class
enz22836	3.2.2.17	ec_class
enz22837	3.2.2.4	ec_class
enz22838	3.2.2.9	ec_class
enz22839	3.4.21.1	ec_class
enz22840	3.5.1.11	ec_class
enz22841	3.5.1.12	ec_class
enz22843	3.5.1.16	ec_class
enz22844	3.5.1.17	ec_class
enz22845	3.5.1.20	ec_class
enz22846	3.5.1.21	ec_class
enz22847	3.5.1.22	ec_class
enz22848	3.5.1.23	ec_class
enz22849	3.5.1.28	ec_class
enz22850	3.5.1.29	ec_class
enz22851	3.5.1.30	ec_class
enz22852	3.5.1.32	ec_class
enz22853	3.5.1.40	ec_class
enz22854	3.5.1.46	ec_class
enz22855	3.5.1.47	ec_class
enz22856	3.5.1.48	ec_class
enz22857	3.5.1.6	ec_class
enz22858	3.5.1.62	ec_class
enz22859	3.5.1.64	ec_class
enz2286	3.11.1.2	ec_class
enz22860	3.5.1.66	ec_class
enz22861	3.5.1.67	ec_class
enz22862	3.5.1.7	ec_class
enz22864	3.5.2.10	ec_class
enz22865	3.5.2.13	ec_class
enz22866	3.5.2.7	ec_class
enz22867	3.5.3.1	ec_class
enz22868	3.5.3.10	ec_class
enz22869	3.5.3.4	ec_class
enz22870	3.5.4.10	ec_class
enz22871	3.5.4.2	ec_class
enz22872	3.5.4.43	ec_class
enz22873	3.5.4.42	ec_class
enz22874	3.5.99.5	ec_class
enz2318	3.2.1.126	ec_class
enz2332	3.2.1.139	ec_class
enz2334	3.2.1.140	ec_class
enz2335	3.2.1.141	ec_class
enz2354	3.2.1.31	ec_class
enz2477	3.4.11.22	ec_class
enz2519	3.4.15.4	ec_class
enz2520	3.4.15.5	ec_class
enz2531	3.4.17.13	ec_class
enz2532	3.4.17.14	ec_class
enz2534	3.4.17.16	ec_class
enz2537	3.4.17.19	ec_class
enz2539	3.4.17.20	ec_class
enz2541	3.4.17.22	ec_class
enz2552	3.4.19.11	ec_class
enz2558	3.4.19.7	ec_class
enz2609	3.4.21.53	ec_class
enz2610	3.4.21.54	ec_class
enz2611	3.4.21.55	ec_class
enz2613	3.4.21.57	ec_class
enz2615	3.4.21.59	ec_class
enz2617	3.4.21.60	ec_class
enz2618	3.4.21.61	ec_class
enz2619	3.4.21.62	ec_class
enz2620	3.4.21.63	ec_class
enz2621	3.4.21.64	ec_class
enz2622	3.4.21.65	ec_class
enz2623	3.4.21.66	ec_class
enz2624	3.4.21.67	ec_class
enz2625	3.4.21.68	ec_class
enz2626	3.4.21.69	ec_class
enz2628	3.4.21.70	ec_class
enz2629	3.4.21.71	ec_class
enz2630	3.4.21.72	ec_class
enz2631	3.4.21.73	ec_class
enz2632	3.4.21.74	ec_class
enz2633	3.4.21.75	ec_class
enz2634	3.4.21.76	ec_class
enz2636	3.4.21.78	ec_class
enz2637	3.4.21.79	ec_class
enz2639	3.4.21.80	ec_class
enz2640	3.4.21.81	ec_class
enz2641	3.4.21.82	ec_class
enz2642	3.4.21.83	ec_class
enz2643	3.4.21.84	ec_class
enz2644	3.4.21.85	ec_class
enz2645	3.4.21.86	ec_class
enz2646	3.4.23.49	ec_class
enz2647	3.4.21.88	ec_class
enz2648	3.4.21.89	ec_class
enz2650	3.4.21.90	ec_class
enz2651	3.4.21.91	ec_class
enz2652	3.4.21.92	ec_class
enz2653	3.4.21.93	ec_class
enz26538	1.13.11.47	ec_class
enz2654	3.4.21.94	ec_class
enz26546	1.14.13.59	ec_class
enz2655	3.4.21.95	ec_class
enz2656	3.4.21.96	ec_class
enz26563	1.1.1.256	ec_class
enz26564	1.1.1.257	ec_class
enz26565	1.1.1.259	ec_class
enz26566	1.1.1.260	ec_class
enz26567	1.1.1.261	ec_class
enz26568	1.1.1.262	ec_class
enz26569	1.1.1.263	ec_class
enz26574	1.1.1.66	ec_class
enz26575	1.1.1.78	ec_class
enz26576	1.1.1.84	ec_class
enz26583	1.2.1.67	ec_class
enz26620	1.7.1.2	ec_class
enz26667	3.10.1.2	ec_class
enz26668	3.1.1.64	ec_class
enz26669	3.1.1.73	ec_class
enz26670	3.1.1.74	ec_class
enz26671	3.1.1.75	ec_class
enz26673	3.1.4.1	ec_class
enz26674	3.1.4.39	ec_class
enz26675	3.2.1.102	ec_class
enz26676	3.2.1.103	ec_class
enz26677	3.2.1.104	ec_class
enz26678	3.2.1.107	ec_class
enz26681	3.2.1.142	ec_class
enz26682	3.2.1.143	ec_class
enz26683	3.2.1.144	ec_class
enz26684	3.2.1.145	ec_class
enz26685	3.2.1.146	ec_class
enz26686	3.2.1.147	ec_class
enz26687	3.2.1.2	ec_class
enz26688	3.2.1.49	ec_class
enz26689	3.2.1.50	ec_class
enz26690	3.2.1.51	ec_class
enz26691	3.2.1.62	ec_class
enz26692	3.2.1.70	ec_class
enz26693	3.2.1.71	ec_class
enz26694	3.2.1.78	ec_class
enz26695	3.2.1.80	ec_class
enz26696	3.2.1.83	ec_class
enz26697	3.2.1.85	ec_class
enz26699	3.2.1.95	ec_class
enz26700	3.2.1.97	ec_class
enz26702	3.3.2.8	ec_class
enz26703	3.5.1.1	ec_class
enz26704	3.5.1.10	ec_class
enz26705	3.5.1.13	ec_class
enz26706	3.5.1.15	ec_class
enz26707	3.5.1.2	ec_class
enz26708	3.5.1.24	ec_class
enz26709	3.5.1.26	ec_class
enz26711	3.5.1.35	ec_class
enz26712	3.5.1.36	ec_class
enz26713	3.5.1.38	ec_class
enz26714	3.5.1.39	ec_class
enz26715	3.5.1.4	ec_class
enz26716	3.5.1.42	ec_class
enz26717	3.5.1.49	ec_class
enz26718	3.5.1.5	ec_class
enz26719	3.5.1.50	ec_class
enz26720	3.5.1.51	ec_class
enz26721	3.5.1.53	ec_class
enz26722	3.5.1.54	ec_class
enz26723	3.5.1.55	ec_class
enz26724	3.5.1.56	ec_class
enz26725	3.5.1.57	ec_class
enz26726	3.5.1.58	ec_class
enz26727	3.5.1.59	ec_class
enz26728	3.5.1.60	ec_class
enz26729	4.3.3.8	ec_class
enz2673	3.4.22.24	ec_class
enz26730	3.5.1.65	ec_class
enz26731	3.5.1.68	ec_class
enz26732	3.5.1.70	ec_class
enz26733	3.5.1.71	ec_class
enz26734	3.5.1.72	ec_class
