namespace	strain_number
str10179	CCM 7089	culture_number
str10179	CCRC 17002	culture_number
str10179	CCUG 31169	culture_number
str10179	CIP 107868	culture_number
str10179	KCTC 3260	culture_number
str10179	LMG 12586	culture_number
str10179	LMG 13552	culture_number
str10179	LMG 17314	culture_number
str10179	NRRL B-441	culture_number
str10179	VTT E-96710	culture_number
str10180	ATCC 33323	culture_number
str10180	BCRC 14619	culture_number
str10180	CCM 7009	culture_number
str10180	CCRC 14619	culture_number
str10180	CCT 3748	culture_number
str10180	CCUG 31451	culture_number
str10180	CECT 4479	culture_number
str10180	CIP 102991	culture_number
str10180	DSM 20243	culture_number
str10180	JCM 1131	culture_number
str10180	KCTC 3163	culture_number
str10180	LMG 9203	culture_number
str10180	NCDO 2233	culture_number
str10180	NCFB 2233	culture_number
str10180	NCIB 11718	culture_number
str10180	NCIMB 11718	culture_number
str10180	NRRL B-14168	culture_number
str10180	NRRL B-4240	culture_number
str10180	VTT E-991245	culture_number
str10183	ATCC 700392	culture_number
str10183	BCRC 17219	culture_number
str10183	CCRC 17219	culture_number
str10183	CCUG 41936	culture_number
str10183	NCTC 12455	culture_number
str10188	ATCC 29096	culture_number
str10188	DSM 1053	culture_number
str10188	JCM 10044	culture_number
str10188	NBRC 100330	culture_number
str10188	VKM B-1908	culture_number
str10189	ATCC 367	culture_number
str10189	BCRC 12310	culture_number
str10189	CCRC 12310	culture_number
str10189	CCUG 36840	culture_number
str10189	CDBB 66	culture_number
str10189	CECT 5354	culture_number
str10189	CGMCC 1.2028	culture_number
str10189	CIP 105137	culture_number
str10189	JCM 1170	culture_number
str10189	LMG 11437	culture_number
str10189	NCDO 477	culture_number
str10189	NCFB 477	culture_number
str10189	NCIB 367	culture_number
str10189	NCIB 8169	culture_number
str10189	NCIB 947	culture_number
str10189	NCIM 2356	culture_number
str10189	NCIMB 8169	culture_number
str10189	NCIMB 947	culture_number
str10189	NCTC 947	culture_number
str10189	VKM B-572	culture_number
str10189	VTT E-82152	culture_number
str10192	CIP 106032	culture_number
str10195	DSM 1313	culture_number
str10195	LMG 6656	culture_number
str10200	ATCC 55486	culture_number
str10200	DSM 44775	culture_number
str10200	JCM 13855	culture_number
str10201	ATCC 9192	culture_number
str10201	IAM 13833	culture_number
str10201	JCM 10080	culture_number
str10201	NRRL 1980	culture_number
str10204	CIP 109905	culture_number
str10204	DSM 17307	culture_number
str10204	VKM B-2377	culture_number
str10205	ACM 1975	culture_number
str10205	ATCC 13047	culture_number
