namespace	strain_number
str15292	IFO 12789	culture_number
str15292	IFO 12903	culture_number
str15292	IFO 3177	culture_number
str15292	IMET 40329	culture_number
str15292	IMET 40330	culture_number
str15292	IMI 039045	culture_number
str15292	IMI 039046	culture_number
str15292	JCM 4055	culture_number
str15292	JCM 4589	culture_number
str15292	JCM 4664	culture_number
str15292	KCTC 1398	culture_number
str15292	KCTC 19942	culture_number
str15292	LMG 19384	culture_number
str15292	NBRC 12343	culture_number
str15292	NBRC 12347	culture_number
str15292	NBRC 12348	culture_number
str15292	NBRC 12789	culture_number
str15292	NBRC 12903	culture_number
str15292	NBRC 3177	culture_number
str15292	NCIB 6959	culture_number
str15292	NCIB 6960	culture_number
str15292	NCIB 8236	culture_number
str15292	NCIB 9840	culture_number
str15292	NCIM 2421	culture_number
str15292	NCIM 2498	culture_number
str15292	NCIM 2499	culture_number
str15292	NCIMB 10979	culture_number
str15292	NCIMB 10995	culture_number
str15292	NCIMB 6959	culture_number
str15292	NCIMB 6960	culture_number
str15292	NCIMB 8236	culture_number
str15292	NCIMB 9840	culture_number
str15292	NCTC 1950	culture_number
str15292	NCTC 6950	culture_number
str15292	NCTC 6959	culture_number
str15292	NCTC 6960	culture_number
str15292	NRRL B-1230	culture_number
str15292	NRRL B-2774	culture_number
str15292	NRRL B-5617	culture_number
str15292	VKM AC-1278	culture_number
str15292	VKM AC-281	culture_number
str15292	VKM AC-624	culture_number
str15293	ATCC 29888	culture_number
str15293	BCRC 13449	culture_number
str15293	CCRC 13449	culture_number
str15293	CGMCC 4.1645	culture_number
str15293	DSM 43827	culture_number
str15293	IAM 14280	culture_number
str15293	IFO 14064	culture_number
str15293	IMET 9740	culture_number
str15293	JCM 3225	culture_number
str15293	KACC 20028	culture_number
str15293	KCTC 9125	culture_number
str15293	KCTC 9184	culture_number
str15293	NBRC 14064	culture_number
str15293	NCIMB 13271	culture_number
str15293	NRRL B-12336	culture_number
str15293	VKM AC-843	culture_number
str15294	ATCC 29888	culture_number
str15294	BCRC 13449	culture_number
str15294	CCRC 13449	culture_number
str15294	CGMCC 4.1645	culture_number
str15294	DSM 43827	culture_number
str15294	IAM 14280	culture_number
str15294	IFO 14064	culture_number
str15294	IMET 9740	culture_number
str15294	JCM 3225	culture_number
str15294	KACC 20028	culture_number
str15294	KCTC 9125	culture_number
str15294	KCTC 9184	culture_number
str15294	NBRC 14064	culture_number
str15294	NCIMB 13271	culture_number
str15294	NRRL B-12336	culture_number
str15294	VKM AC-843	culture_number
str15295	ATCC 29888	culture_number
str15295	BCRC 13449	culture_number
str15295	CCRC 13449	culture_number
str15295	CGMCC 4.1645	culture_number
str15295	DSM 43827	culture_number
str15295	IAM 14280	culture_number
str15295	IFO 14064	culture_number
str15295	IMET 9740	culture_number
str15295	JCM 3225	culture_number
str15295	KACC 20028	culture_number
str15295	KCTC 9125	culture_number
str15295	KCTC 9184	culture_number
str15295	NBRC 14064	culture_number
str15295	NCIMB 13271	culture_number
str15295	NRRL B-12336	culture_number
str15295	VKM AC-843	culture_number
str15298	NCDO 2066	culture_number
str15298	NCIMB 702066	culture_number
str15298	NRRL B-1355	culture_number
str15298	VKM B-1659	culture_number
str15302	ATCC 29545	culture_number
str15302	CCM 6075	culture_number
str15302	CCUG 12835	culture_number
str15302	CIP 103453	culture_number
str15302	DSM 18554	culture_number
str15302	NCTC 11296	culture_number
str15302	NCTC 112963	culture_number
str15303	ATCC 29545	culture_number
str15303	CCM 6075	culture_number
str15303	CCUG 12835	culture_number
str15303	CIP 103453	culture_number
str15303	DSM 18554	culture_number
str15303	NCTC 11296	culture_number
str15303	NCTC 112963	culture_number
str15307	ATCC BAA-680	culture_number
str15308	CIP 110141	culture_number
str15308	DSM 23420	culture_number
str15310	LMG 18388	culture_number
str15313	ATCC 50861	culture_number
str15314	CIP 109905	culture_number
str15314	DSM 17307	culture_number
str15314	VKM B-2377	culture_number
str15315	ATCC BAA-1062	culture_number
str15317	ATCC BAA-1066	culture_number
str15319	ATCC BAA-163	culture_number
str15319	DSM 7039	culture_number
str15319	NBRC 101085	culture_number
str15323	ATCC 62807	culture_number
str15324	DSM 25719	culture_number
str15328	DSM 11195	culture_number
str15329	DSM 11195	culture_number
str15330	ATCC 55730	culture_number
str15334	FGSC 1089	culture_number
str15339	ATCC 10895	culture_number
str15339	CBS 109.51	culture_number
str15339	CDBB 161	culture_number
str15339	FGSC 9923	culture_number
str15339	IFO 1355	culture_number
str15339	MUCL 29450	culture_number
str15339	NBRC 1355	culture_number
str15339	NRRL Y-1056	culture_number
str15339	VKM F-3296	culture_number
str15339	VTT D-071264	culture_number
str15340	ATCC 10895	culture_number
str15340	CBS 109.51	culture_number
str15340	CDBB 161	culture_number
str15340	FGSC 9923	culture_number
str15340	IFO 1355	culture_number
str15340	MUCL 29450	culture_number
str15340	NBRC 1355	culture_number
str15340	NRRL Y-1056	culture_number
str15340	VKM F-3296	culture_number
str15340	VTT D-071264	culture_number
str15341	ATCC 10895	culture_number
str15341	CBS 109.51	culture_number
str15341	CDBB 161	culture_number
str15341	FGSC 9923	culture_number
str15341	IFO 1355	culture_number
str15341	MUCL 29450	culture_number
str15341	NBRC 1355	culture_number
str15341	NRRL Y-1056	culture_number
str15341	VKM F-3296	culture_number
str15341	VTT D-071264	culture_number
str15349	ATCC MYA-384	culture_number
str15350	ATCC 18632	culture_number
str15351	CIP 111175	culture_number
str15352	ATCC 51530	culture_number
str15352	DSM 4299	culture_number
str15352	IFO 15438	culture_number
str15352	JCM 9571	culture_number
str15352	NBRC 15438	culture_number
str15355	AS 1.1886	culture_number
str15355	ATCC 13032	culture_number
str15355	BCRC 11384	culture_number
str15355	CCM 2428	culture_number
str15355	CCRC 11384	culture_number
str15355	CCT 0542	culture_number
str15355	CCT 2736	culture_number
str15355	CCUG 27702	culture_number
str15355	CDBB 70	culture_number
str15355	CECT 4157	culture_number
str15355	CGMCC 1.1886	culture_number
str15355	CIP 82.08	culture_number
str15355	CIP 82.8	culture_number
str15355	DSM 20300	culture_number
str15355	HAMBI 2052	culture_number
str15355	IAM 12435	culture_number
str15355	IFO 12168	culture_number
str15355	IMET 10482	culture_number
str15355	IMET 10842	culture_number
str15355	JCM 1318	culture_number
str15355	KCTC 1445	culture_number
str15355	KCTC 9097	culture_number
str15355	LMD 72.28	culture_number
str15355	LMG 19741	culture_number
str15355	LMG 3730	culture_number
str15355	NBRC 12168	culture_number
str15355	NCCB 70082	culture_number
str15355	NCCB 72028	culture_number
str15355	NCIB 10025	culture_number
str15355	NCIM 2705	culture_number
str15355	NCIMB 10025	culture_number
str15355	NRRL B-2784	culture_number
str15359	ATCC 49708	culture_number
str15359	DSM 5692	culture_number
str15359	JCM 16813	culture_number
str1536	BCRC 17560	culture_number
str1536	CCRC 17560	culture_number
str1536	CECT 7022	culture_number
str1536	CIP 108718	culture_number
str1536	DSM 15478	culture_number
str15360	ATCC 49708	culture_number
str15360	DSM 5692	culture_number
str15360	JCM 16813	culture_number
str15361	ATCC 49708	culture_number
str15361	DSM 5692	culture_number
str15361	JCM 16813	culture_number
str15362	ATCC 49708	culture_number
str15362	DSM 5692	culture_number
str15362	JCM 16813	culture_number
str15367	AS 1.2430	culture_number
str15367	CGMCC 1.2430	culture_number
str15367	DSM 15242	culture_number
str15367	JCM 11007	culture_number
str15367	NBRC 100824	culture_number
str15368	AS 1.2430	culture_number
str15368	CGMCC 1.2430	culture_number
str15368	DSM 15242	culture_number
str15368	JCM 11007	culture_number
str15368	NBRC 100824	culture_number
str15369	ATCC BAA-1280	culture_number
str1537	BCRC 17560	culture_number
str1537	CCRC 17560	culture_number
str1537	CECT 7022	culture_number
str1537	CIP 108718	culture_number
str1537	DSM 15478	culture_number
str15370	DSM 17508	culture_number
str15371	ATCC BAA-1280	culture_number
str15372	ATCC 35089	culture_number
str15372	DSM 1224	culture_number
str15372	JCM 13029	culture_number
str15373	ATCC 35089	culture_number
str15373	DSM 1224	culture_number
str15373	JCM 13029	culture_number
str15374	ATCC 35089	culture_number
str15374	DSM 1224	culture_number
str15374	JCM 13029	culture_number
str15376	ATCC 27502	culture_number
str15376	DSM 5159	culture_number
str15376	KCTC 2653	culture_number
str15377	DSM 100646	culture_number
str15378	ATCC BAA-798	culture_number
str15379	ATCC BAA-798	culture_number
str1538	ATCC 36701	culture_number
str15380	CIP 107738	culture_number
str15380	DSM 14365	culture_number
str15380	JCM 11303	culture_number
str15381	CIP 107738	culture_number
str15381	DSM 14365	culture_number
str15381	JCM 11303	culture_number
str15382	CIP 107738	culture_number
str15382	DSM 14365	culture_number
str15382	JCM 11303	culture_number
str15383	ATCC 21833	culture_number
str15383	BCRC 15439	culture_number
str15383	CCRC 15439	culture_number
str15383	CIP 109017	culture_number
str15383	DSM 2522	culture_number
str15383	JCM 9156	culture_number
str15384	ATCC 21833	culture_number
str15384	BCRC 15439	culture_number
str15384	CCRC 15439	culture_number
str15384	CIP 109017	culture_number
str15384	DSM 2522	culture_number
str15384	JCM 9156	culture_number
str15385	ATCC 21833	culture_number
str15385	BCRC 15439	culture_number
str15385	CCRC 15439	culture_number
str15385	CIP 109017	culture_number
str15385	DSM 2522	culture_number
str15385	JCM 9156	culture_number
str15386	ATCC 21833	culture_number
str15386	BCRC 15439	culture_number
str15386	CCRC 15439	culture_number
str15386	CIP 109017	culture_number
str15386	DSM 2522	culture_number
str15386	JCM 9156	culture_number
str15387	ATCC 64905	culture_number
str15388	DSM 19304	culture_number
str15388	LMG 27836	culture_number
str15388	NCIMB 14124	culture_number
str15388	VKM B-2133	culture_number
str15389	DSM 19304	culture_number
str15389	LMG 27836	culture_number
str15389	NCIMB 14124	culture_number
str15389	VKM B-2133	culture_number
str15390	ACM 3302	culture_number
str15390	ATCC 33009	culture_number
str15390	BCRC 17456	culture_number
str15390	CCRC 17456	culture_number
str15390	IMET 10544	culture_number
str15390	LMG 26900	culture_number
str15390	NCIB 11132	culture_number
str15390	NCIMB 11132	culture_number
str15394	ATCC BAA-1226	culture_number
str15395	CIP 110990	culture_number
str15395	DSM 17306	culture_number
str15395	VKM B-2378	culture_number
str15396	CIP 110990	culture_number
str15396	DSM 17306	culture_number
str15396	VKM B-2378	culture_number
str15398	ACM 497	culture_number
str15398	AS 1.1788	culture_number
str15398	ATCC 13637	culture_number
str15398	BCRC 10737	culture_number
str15398	CCM 1640	culture_number
str15398	CCRC 10737	culture_number
str15398	CCT 1897	culture_number
str15398	CCUG 5866	culture_number
str15398	CECT 115	culture_number
str15398	CFBP 3035	culture_number
str15398	CIP 60.77	culture_number
str15398	CNCTC 5821	culture_number
str15398	DSM 50170	culture_number
str15398	IAM 12423	culture_number
str15398	ICMP 17033	culture_number
str15398	IFO 12690	culture_number
str15398	IFO 14161	culture_number
str15398	IMET 10402	culture_number
str15398	IMI 347517	culture_number
str15398	JCM 1975	culture_number
str15398	KCTC 1773	culture_number
str15398	LMD 68.18	culture_number
str15398	LMG 958	culture_number
str15398	NBRC 12690	culture_number
str15398	NBRC 14161	culture_number
str15398	NCAIM B.01119	culture_number
str15398	NCCB 68018	culture_number
str15398	NCIB 9203	culture_number
str15398	NCIMB 9203	culture_number
str15398	NCPPB 1974	culture_number
str15398	NCTC 10257	culture_number
str15398	NRRL B-2756	culture_number
str15398	VKM B-591	culture_number
str15398	VTT E-96657	culture_number
str15401	ATCC 35395	culture_number
str15401	BCRC 16170	culture_number
str15401	CCRC 16170	culture_number
str15401	DSM 2834	culture_number
str15401	JCM 12185	culture_number
str15401	NBRC 100939	culture_number
str15402	AS 4.166	culture_number
str15402	ATCC 11635	culture_number
str15402	BCRC 13429	culture_number
str15402	CBS 727.72	culture_number
str15402	CCRC 13429	culture_number
str15402	CECT 3200	culture_number
str15402	CGMCC 4.1478	culture_number
str15402	CGMCC 4.1660	culture_number
str15402	DSM 40517	culture_number
str15402	HAMBI 938	culture_number
str15402	HUT 6087	culture_number
str15402	IAM 0045	culture_number
str15402	IFO 12597	culture_number
str15402	IFO 13426	culture_number
str15402	JCM 4026	culture_number
str15402	JCM 4748	culture_number
str15402	KACC 20098	culture_number
str15402	KCTC 9053	culture_number
str15402	NBIMCC 3384	culture_number
str15402	NBRC 12597	culture_number
str15402	NBRC 13426	culture_number
str15402	NCIB 8594	culture_number
str15402	NCIM 2620	culture_number
str15402	NCIMB 8594	culture_number
str15402	NRRL 2338	culture_number
str15402	NRRL B-16947	culture_number
str15402	NRRL B-2338	culture_number
str15402	VKM AC-1189	culture_number
str15403	AS 4.166	culture_number
str15403	ATCC 11635	culture_number
str15403	BCRC 13429	culture_number
str15403	CBS 727.72	culture_number
str15403	CCRC 13429	culture_number
str15403	CECT 3200	culture_number
str15403	CGMCC 4.1478	culture_number
str15403	CGMCC 4.1660	culture_number
str15403	DSM 40517	culture_number
str15403	HAMBI 938	culture_number
str15403	HUT 6087	culture_number
str15403	IAM 0045	culture_number
str15403	IFO 12597	culture_number
str15403	IFO 13426	culture_number
str15403	JCM 4026	culture_number
str15403	JCM 4748	culture_number
str15403	KACC 20098	culture_number
str15403	KCTC 9053	culture_number
str15403	NBIMCC 3384	culture_number
str15403	NBRC 12597	culture_number
str15403	NBRC 13426	culture_number
str15403	NCIB 8594	culture_number
str15403	NCIM 2620	culture_number
str15403	NCIMB 8594	culture_number
str15403	NRRL 2338	culture_number
str15403	NRRL B-16947	culture_number
str15403	NRRL B-2338	culture_number
str15403	VKM AC-1189	culture_number
str15404	AS 4.166	culture_number
str15404	ATCC 11635	culture_number
str15404	BCRC 13429	culture_number
str15404	CBS 727.72	culture_number
str15404	CCRC 13429	culture_number
str15404	CECT 3200	culture_number
str15404	CGMCC 4.1478	culture_number
str15404	CGMCC 4.1660	culture_number
str15404	DSM 40517	culture_number
str15404	HAMBI 938	culture_number
str15404	HUT 6087	culture_number
str15404	IAM 0045	culture_number
str15404	IFO 12597	culture_number
str15404	IFO 13426	culture_number
str15404	JCM 4026	culture_number
str15404	JCM 4748	culture_number
str15404	KACC 20098	culture_number
str15404	KCTC 9053	culture_number
str15404	NBIMCC 3384	culture_number
str15404	NBRC 12597	culture_number
str15404	NBRC 13426	culture_number
str15404	NCIB 8594	culture_number
str15404	NCIM 2620	culture_number
str15404	NCIMB 8594	culture_number
str15404	NRRL 2338	culture_number
str15404	NRRL B-16947	culture_number
str15404	NRRL B-2338	culture_number
str15404	VKM AC-1189	culture_number
str15405	AS 4.166	culture_number
str15405	ATCC 11635	culture_number
str15405	BCRC 13429	culture_number
str15405	CBS 727.72	culture_number
str15405	CCRC 13429	culture_number
str15405	CECT 3200	culture_number
str15405	CGMCC 4.1478	culture_number
str15405	CGMCC 4.1660	culture_number
str15405	DSM 40517	culture_number
str15405	HAMBI 938	culture_number
str15405	HUT 6087	culture_number
str15405	IAM 0045	culture_number
str15405	IFO 12597	culture_number
str15405	IFO 13426	culture_number
str15405	JCM 4026	culture_number
str15405	JCM 4748	culture_number
str15405	KACC 20098	culture_number
str15405	KCTC 9053	culture_number
str15405	NBIMCC 3384	culture_number
str15405	NBRC 12597	culture_number
str15405	NBRC 13426	culture_number
str15405	NCIB 8594	culture_number
str15405	NCIM 2620	culture_number
str15405	NCIMB 8594	culture_number
str15405	NRRL 2338	culture_number
str15405	NRRL B-16947	culture_number
str15405	NRRL B-2338	culture_number
str15405	VKM AC-1189	culture_number
str15407	ATCC 700027	culture_number
str15407	DSM 9790	culture_number
str15407	JCM 10055	culture_number
str15407	NBRC 100828	culture_number
str15408	ATCC 700027	culture_number
str15408	DSM 9790	culture_number
str15408	JCM 10055	culture_number
str15408	NBRC 100828	culture_number
str15409	ATCC 700027	culture_number
str15409	DSM 9790	culture_number
str15409	JCM 10055	culture_number
str15409	NBRC 100828	culture_number
str15413	DSM 16854	culture_number
str15413	JCM 12705	culture_number
str15414	DSM 45713	culture_number
str15415	ACM 3107	culture_number
str15415	ATCC 49239	culture_number
str15415	CIP 105334	culture_number
str15415	DSM 5036	culture_number
str15415	JCM 8891	culture_number
str15415	NCIMB 12997	culture_number
str15415	VKM B-1753	culture_number
str15417	ATCC 6013	culture_number
str15417	BCRC 10942	culture_number
str15417	CCRC 10942	culture_number
str15417	CCT 0203	culture_number
str15417	CCUG 31328	culture_number
str15417	CECT 377	culture_number
str15417	DSM 525	culture_number
str15417	IMET 11346	culture_number
str15417	JCM 1108	culture_number
str15417	JCM 1408	culture_number
str15417	KCTC 1674	culture_number
str15417	LMG 3285	culture_number
str15417	LMG 5709	culture_number
str15417	NCDO 1845	culture_number
str15417	NCFB 1845	culture_number
str15417	NCIB 9486	culture_number
str15417	NCIMB 9486	culture_number
str15417	VKM B-1774	culture_number
str15418	ATCC 51908	culture_number
str15418	CECT 5108	culture_number
str15418	CIP 105547	culture_number
str15418	DSM 12036	culture_number
str15418	LMG 18926	culture_number
str15418	NCIMB 13526	culture_number
str15419	ATCC BAA-255	culture_number
str15419	KCTC 3932	culture_number
str15423	ACM 3992	culture_number
str15423	ATCC 25586	culture_number
str15423	BCRC 10681	culture_number
str15423	CCRC 10681	culture_number
str15423	CCUG 32989	culture_number
str15423	CCUG 33059	culture_number
str15423	CIP 101130	culture_number
str15423	DSM 15643	culture_number
str15423	JCM 8532	culture_number
str15423	KCTC 2640	culture_number
str15423	KCTC 5103	culture_number
str15423	LMG 13131	culture_number
str15425	ATCC BAA-835	culture_number
str15425	CCUG 64013	culture_number
str15425	CIP 107961	culture_number
str15426	ATCC 33999	culture_number
str15426	CCM 4003	culture_number
str15426	CCUG 20908	culture_number
str15426	CIP 103359	culture_number
str15426	CNCTC 6468	culture_number
str15426	DSM 5078	culture_number
str15426	JCM 5902	culture_number
str15426	LMG 7912	culture_number
str15426	NCTC 12152	culture_number
str15430	ATCC 33889	culture_number
str15430	DSM 1251	culture_number
str15431	ATCC 33889	culture_number
str15431	DSM 1251	culture_number
str15434	CCAP 1119/1	culture_number
str15434	CCAP 1119/11	culture_number
str15434	CCMP 115	culture_number
str15434	CCMP 1771	culture_number
str15434	CCMP 2022	culture_number
str15434	CCMP 2023	culture_number
str15434	RCC 292	culture_number
str15434	RCC 293	culture_number
str15434	RCC 87	culture_number
str15435	CCMP 1102	culture_number
str15436	CCAP 1119/1	culture_number
str15436	CCAP 1119/11	culture_number
str15436	CCMP 115	culture_number
str15436	CCMP 1771	culture_number
str15436	CCMP 2022	culture_number
str15436	CCMP 2023	culture_number
str15436	RCC 292	culture_number
str15436	RCC 293	culture_number
str15436	RCC 87	culture_number
str15437	CCMP 1936	culture_number
str15438	CCMP 2467	culture_number
str15439	CCMP 291	culture_number
str15441	ATCC 25618	culture_number
str15441	ATCC 27294	culture_number
str15441	ATCC 9360	culture_number
str15441	CCUG 37357	culture_number
str15441	CCUG 38148	culture_number
str15441	CIP 104475	culture_number
str15441	CIP 64.31	culture_number
str15441	CNCTC 7301	culture_number
str15441	NCTC 13144	culture_number
str15441	NCTC 7416	culture_number
str15442	VTT B-96281	culture_number
str15444	ATCC 21405	culture_number
str15444	BCRC 12066	culture_number
str15444	CCRC 12066	culture_number
str15444	DSM 43360	culture_number
str15444	IFO 13925	culture_number
str15444	IMET 9043	culture_number
str15444	JCM 3177	culture_number
str15444	KCTC 9075	culture_number
str15444	KCTC 9124	culture_number
str15444	KCTC 9171	culture_number
str15444	NBRC 13925	culture_number
str15444	NCIMB 11313	culture_number
str15444	NRRL B-5737	culture_number
str15444	VKM AC-660	culture_number
str15445	ATCC 19819	culture_number
str15445	BCRC 12033	culture_number
str15445	BCRC 13756	culture_number
str15445	CBS 572.68	culture_number
str15445	CCRC 12033	culture_number
str15445	CCRC 13756	culture_number
str15445	CGMCC 4.1931	culture_number
str15445	DSM 40134	culture_number
str15445	IFO 12829	culture_number
str15445	JCM 4271	culture_number
str15445	JCM 4426	culture_number
str15445	KCTC 9220	culture_number
str15445	NBRC 12829	culture_number
str15445	NRRL B-5414	culture_number
str15445	VKM AC-1205	culture_number
str15445	VKM AC-1823	culture_number
str15448	ATCC 19435	culture_number
str15448	ATCC 9936	culture_number
str15448	BCRC 12312	culture_number
str15448	CCM 1877	culture_number
str15448	CCRC 12312	culture_number
str15448	CCUG 32211	culture_number
str15448	CCUG 7980	culture_number
str15448	CDBB 597	culture_number
str15448	CECT 185	culture_number
str15448	CGMCC 1.1936	culture_number
str15448	CIP 20481	culture_number
str15448	CIP 70.56	culture_number
str15448	CNCTC 6911	culture_number
str15448	DSM 20481	culture_number
str15448	HAMBI 1591	culture_number
str15448	IMET 10699	culture_number
str15448	JCM 5805	culture_number
str15448	KCTC 3508	culture_number
str15448	KCTC 3769	culture_number
str15448	LMG 6890	culture_number
str15448	NBIMCC 4000	culture_number
str15448	NBRC 100933	culture_number
str15448	NCAIM B.02070	culture_number
str15448	NCDO 604	culture_number
str15448	NCFB 604	culture_number
str15448	NCIB 6681	culture_number
str15448	NCIMB 6681	culture_number
str15448	NCTC 6681	culture_number
str15448	VKM B-1662	culture_number
str15448	VTT E-90395	culture_number
str15449	ATCC 607	culture_number
str15449	CCM 4622	culture_number
str15449	CCUG 21816	culture_number
str15449	CCUG 21819	culture_number
str15449	CDBB 1096	culture_number
str15449	CECT 3032	culture_number
str15449	CGMCC 1.0562	culture_number
str15449	CIP 110083	culture_number
str15449	DSM 43465	culture_number
str15449	IAM 12065	culture_number
str15449	JCM 20379	culture_number
str15449	KCTC 2002	culture_number
str15449	LMG 10267	culture_number
str15449	NCTC 7017	culture_number
str15449	NRRL B-692	culture_number
str15451	ATCC 43234	culture_number
str15451	BCRC 14048	culture_number
str15451	CCRC 14048	culture_number
str15451	CCUG 32230	culture_number
str15451	CIP 103144	culture_number
str15451	DSM 20655	culture_number
str15451	JCM 5666	culture_number
str15451	KCTC 5063	culture_number
str15451	LMG 10753	culture_number
str15451	NBRC 102162	culture_number
str15451	NCFB 2786	culture_number
str15451	NCIMB 702786	culture_number
str15456	DSM 24997	culture_number
str15459	BCRC 17378	culture_number
str15459	CCM 4703	culture_number
str15459	CCRC 17378	culture_number
str15459	CIP 105573	culture_number
str15459	DSM 11300	culture_number
str15459	NCIMB 13518	culture_number
str15459	VTT E-991290	culture_number
str1546	BCRC 17566	culture_number
str1546	CCM 7224	culture_number
str1546	CCRC 17566	culture_number
str1546	DSM 15726	culture_number
str1546	LMG 23069	culture_number
str1546	VKM B-2301	culture_number
str15463	ATCC 21070	culture_number
str15463	IFO 13790	culture_number
str15463	JCM 5034	culture_number
str15463	NBRC 13790	culture_number
str15464	ATCC 35046	culture_number
str15464	BCRC 14617	culture_number
str15464	CCRC 14617	culture_number
str15464	CCT 3755	culture_number
str15464	CCUG 33906	culture_number
str15464	CECT 4060	culture_number
str15464	CGMCC 1.2623	culture_number
str15464	CIP 103152	culture_number
str15464	DSM 20602	culture_number
str15464	IAM 13547	culture_number
str15464	IFO 15882	culture_number
str15464	JCM 5670	culture_number
str15464	KCTC 3501	culture_number
str15464	LMG 9843	culture_number
str15464	NBRC 15882	culture_number
str15464	NCDO 2425	culture_number
str15464	NCFB 2425	culture_number
str15464	NCIMB 13278	culture_number
str15464	NRRL B-14176	culture_number
str15464	VTT E-991268	culture_number
str15468	ATCC BAA-429	culture_number
str15477	ATCC 10110	culture_number
str15477	ATCC 1129	culture_number
str15477	BCRC 32359	culture_number
str15477	CBS 221.30	culture_number
str15477	CCRC 30570	culture_number
str15477	CCRC 32359	culture_number
str15477	CECT 2905	culture_number
str15477	CGMCC 3.7903	culture_number
str15477	FRR 849	culture_number
str15477	IAM 13798	culture_number
str15477	IFO 5459	culture_number
str15477	IMI 24313	culture_number
str15477	JCM 22842	culture_number
str15477	KCTC 6080	culture_number
str15477	MUCL 34887	culture_number
str15477	MUCL 38771	culture_number
str15477	NBRC 5459	culture_number
str15477	NCIM 712	culture_number
str15477	NCTC 588	culture_number
str15477	NRRL 849	culture_number
str15481	ATCC 10658	culture_number
str15481	BCRC 22482	culture_number
str15481	CBS 319	culture_number
str15481	CCRC 22482	culture_number
str15481	CGMCC 2.1516	culture_number
str15481	DBVPG 7020	culture_number
str15481	IAM 12967	culture_number
str15481	IFO 0387	culture_number
str15481	IFO 412	culture_number
str15481	JCM 3777	culture_number
str15481	KCTC 17137	culture_number
str15481	MUCL 30405	culture_number
str15481	NBRC 0387	culture_number
str15481	NBRC 0412	culture_number
str15481	NCAIM Y.01612	culture_number
str15481	NRRL Y-1589	culture_number
str15481	VKM Y-338	culture_number
str15482	ATCC 18568	culture_number
str15482	BCRC 21320	culture_number
str15482	CBS 501	culture_number
str15482	CCRC 21320	culture_number
str15482	DBVPG 3786	culture_number
str15482	DBVPG 6655	culture_number
str15482	IFO 1192	culture_number
str15482	IHEM 5814	culture_number
str15482	JCM 2954	culture_number
str15482	KCTC 7189	culture_number
str15482	MUCL 30301	culture_number
str15482	NBIMCC 1629	culture_number
str15482	NBRC 1192	culture_number
str15482	NCYC 425	culture_number
str15482	NRRL Y-6655	culture_number
str15482	UAMH 1749	culture_number
str15483	BCRC 22490	culture_number
str15483	CBS 7301	culture_number
str15483	CCRC 22490	culture_number
str15483	IAM 12963	culture_number
str15483	IFO 10748	culture_number
str15483	JCM 7358	culture_number
str15483	KCTC 7979	culture_number
str15483	NBRC 10748	culture_number
str15483	NCAIM Y.00951	culture_number
str15483	NRRL Y-17804	culture_number
str15484	AS 4.1711	culture_number
str15484	ATCC BAA-481	culture_number
str15484	CGMCC 4.1711	culture_number
str15484	DSM 44720	culture_number
str15484	IFO 16184	culture_number
str15484	JCM 10302	culture_number
str15484	NBRC 16184	culture_number
str15484	NRRL B-24463	culture_number
str15485	NCYC 3235	culture_number
str15486	DSM 24507	culture_number
str15487	ATCC 33430	culture_number
str15487	BCRC 15591	culture_number
str15487	CCRC 15591	culture_number
str15487	CIP 104993	culture_number
str15500	ATCC 700860	culture_number
str15500	DSM 12428	culture_number
str15500	JCM 9974	culture_number
str15500	NBRC 100139	culture_number
str15503	ATCC 19995	culture_number
str15503	CBS 141.67	culture_number
str15503	CBS 162.64	culture_number
str15503	CECT 3319	culture_number
str15503	CECT 7278	culture_number
str15503	CIP 105592	culture_number
str15503	DSM 43183	culture_number
str15503	HAMBI 1549	culture_number
str15503	IAM 14296	culture_number
str15503	IFO 15933	culture_number
str15503	IMET 9551	culture_number
str15503	JCM 3096	culture_number
str15503	KACC 20052	culture_number
str15503	KCTC 9072	culture_number
str15503	NBIMCC 3643	culture_number
str15503	NBRC 15933	culture_number
str15503	NCIMB 10081	culture_number
str15504	ATCC 51142	culture_number
str15505	DSM 1599	culture_number
str15506	ATCC 27555	culture_number
str15506	ATCC 33571	culture_number
str15506	BCRC 14510	culture_number
str15506	CCRC 14510	culture_number
str15506	CIP 104302	culture_number
str15506	CNCTC 5359	culture_number
str15506	DSM 599	culture_number
str15506	JCM 1381	culture_number
str15506	NCTC 10984	culture_number
str15506	NRRL B-41069	culture_number
str15511	BCRC 11682	culture_number
str15511	CCRC 11682	culture_number
str15511	IFO 3288	culture_number
str15511	LMG 1693	culture_number
str15511	NBRC 3288	culture_number
str15512	ATCC 19993	culture_number
str15512	CBS 139.67	culture_number
str15512	DSM 43833	culture_number
str15512	IFO 14880	culture_number
str15512	JCM 10125	culture_number
str15512	KCTC 9307	culture_number
str15512	NBRC 14880	culture_number
str15517	ATCC 20864	culture_number
str15518	ATCC 10573	culture_number
str15518	BCC 5441	culture_number
str15518	BCRC 21748	culture_number
str15518	CBS 615	culture_number
str15518	CCRC 21748	culture_number
str15518	CDBB 645	culture_number
str15518	DBVPG 6159	culture_number
str15518	DSM 26797	culture_number
str15518	IFO 10315	culture_number
str15518	IHEM 3996	culture_number
str15518	JCM 9827	culture_number
str15518	KCTC 7660	culture_number
str15518	MUCL 29892	culture_number
str15518	NBRC 10315	culture_number
str15518	NCAIM Y.01079	culture_number
